"NAME","LENGTH","PHAGE","CHECKV_QUALITY","MIUVIG_QUALITY","LIFE_CYCLE","PROVIRUS","HOST_PHYLUM","HOST_CLASS","HOST_ORDER","HOST_FAMILY","HOST_GENUS","HOST_PREDICTION_METHOD","VC_STATUS","CLUSTER","SUBCLUSTER","REF_PHAGES_IN_VC","GARRY_OAK_ENRICHMENT","HILLY_GRASSLAND_ENRICHMENT","Sage1_L_100_16","Sage1_L_113_16","Sage1_L_20_16","Sage1_L_40_16","Sage1_L_60_16","Sage1_L_80_16","Sage1_R_100_16","Sage1_R_113_16","Sage1_R_20_16","Sage1_R_40_16","Sage1_R_60_16","Sage1_R_80_16","Sage2_L_100_16","Sage2_L_115_16","Sage2_L_20_16","Sage2_L_40_16","Sage2_L_60_16","Sage2_L_80_16","Sage2_R_100_16","Sage2_R_115_16","Sage2_R_20_16","Sage2_R_40_16","Sage2_R_60_16","Sage2_R_80_16"
"DNA_vOTU_8344",12071,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,"SURFACE",21,24,40,34,52,45,9,3,12,12,20,11,16,9,460,14,27,14,7,10,162,6,10,23
"DNA_vOTU_8819",12069,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Pseudomonadota","BetaPseudomonadota","Burkholderiales","Burkholderiaceae","Salinispora","WIsH","Clustered",1165,0,"NO","SUBSURFACE",NA,258,388,54,124,156,159,89,1039,23,51,170,59,17,29,30,39,64,31,14,16,19,22,27,18
"DNA_vOTU_3271",12066,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Outlier",NA,NA,"YES",NA,NA,3,7,7,15,15,9,7,2,6,7,2,0,4,6,0,43,12,8,1,37,2,482,0,12
"DNA_vOTU_352",12065,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,"SUBSURFACE",NA,141,81,36,31,85,301,138,71,11,11,28,604,6,3,11,16,16,12,4,4,8,5,8,3
"DNA_vOTU_4986",12059,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,"SUBSURFACE",2,5,5,2,5,7,2,2,0,2,0,2,32,71,2,21,288,532,57,31,0,18,80,178
"DNA_vOTU_1858",12057,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",694,0,"NO",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNA_vOTU_3496",12057,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Nocardioidaceae","Aeromicrobium","CRISPR spacer (database)","Singleton",NA,NA,NA,NA,NA,26,17,59,49,43,53,20,2,18,11,10,13,28,30,11,35,30,16,9,3,18,521,137,8
"DNA_vOTU_7419",12054,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Polyangiaceae","Sorangium","WIsH","Outlier",NA,NA,"YES",NA,NA,71,72,182,124,168,164,81,19,72,109,53,29,62,84,100,769,104,67,34,32,53,250,73,55
"DNA_vOTU_5581",12053,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Luteitalea","WIsH","Singleton",NA,NA,NA,NA,NA,60,59,106,80,116,135,68,15,33,37,41,18,222,746,33,37,44,133,19,69,33,59,28,20
"DNA_vOTU_5642",12053,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,NA,29,25,48,53,66,44,24,7,12,16,24,5,93,146,180,572,55,53,101,116,118,277,33,112
"DNA_vOTU_611",12049,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",394,0,"NO",NA,"SURFACE",1820,2401,5723,5096,5294,3200,2566,3555,4248,3604,3034,2810,1817,2624,4643,3808,3598,2630,1641,1794,3305,2870,3103,1790
"DNA_vOTU_8220",12047,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,NA,8,9,684,356,144,24,22,5,69,393,41,12,682,467,543,1914,323,403,426,414,100,734,172,316
"DNA_vOTU_8237",12047,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptomycetaceae","Streptomyces","WIsH","Clustered",465,0,"NO","SUBSURFACE","SUBSURFACE",28916,12086,143,1829,2315,9781,19010,12398,44,872,9655,7311,333,230,47,497,787,1198,311,203,32,407,709,576
"DNA_vOTU_204",12042,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","YES",NA,NA,NA,NA,NA,NA,"Clustered",1136,0,"NO",NA,"SUBSURFACE",3,14,26,48,35,22,12,2,9,12,18,5,130,170,17,561,182,123,239,112,8,290,59,101
"DNA_vOTU_4522",12041,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Outlier",NA,NA,"YES",NA,"SUBSURFACE",4,15,20,104,34,23,13,0,6,19,10,1,116,53,3,12,75,510,32,44,7,5,176,161
"DNA_vOTU_566",12039,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Frankiaceae","Frankia","WIsH","Clustered",1310,0,"NO","SUBSURFACE",NA,1229,954,165,430,438,727,763,586,46,317,753,497,126,95,44,148,154,241,71,82,48,94,188,155
"DNA_vOTU_5973",12034,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Clustered",1317,0,"NO",NA,"SUBSURFACE",8,12,16,45,20,14,23,3,6,51,28,4,672,544,12,164,935,865,401,207,2,492,922,497
"DNA_vOTU_8797",12029,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,"SURFACE",NA,86,63,615,215,171,78,55,58,268,574,56,33,956,774,1301,1245,1123,1289,544,457,384,736,688,637
"DNA_vOTU_5207",12028,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","WIsH","Singleton",NA,NA,NA,NA,"SUBSURFACE",4,1,6,5,4,4,0,3,2,1,3,0,4,464,0,0,1,1,265,409,0,0,0,0
"DNA_vOTU_3414",12026,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO","Pseudomonadota","DeltaPseudomonadota","Syntrophobacterales","Syntrophaceae","Desulfomonile","WIsH","Clustered",1459,0,"NO",NA,"SUBSURFACE",7,6,6,10,14,9,2,1,6,6,1,6,120,270,28,8179,351,84,146,47,2,1136,109,216
"DNA_vOTU_8902",12026,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Pseudomonadota","BetaPseudomonadota","Burkholderiales","Burkholderiaceae","Salinispora","WIsH","Singleton",NA,NA,NA,NA,NA,38,38,96,74,121,1046,59,10,15,28,51,20,13,22,21,26,18,29,15,17,6,9,16,20
"DNA_vOTU_8798",12025,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Gemmatimonadota","Gemmatimonadetes",NA,NA,NA,"CRISPR spacer (MAG)","Clustered",1157,0,"NO",NA,"SUBSURFACE",77,54,72,114,124,121,104,73,13,38,52,37,133,176,23,105,965,178,88,105,17,312,352,204
"DNA_vOTU_463",12015,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,NA,43,28,45,58,68,51,28,4,16,33,23,13,48,26,15,12,10,20,247,559,13,7,8,17
"DNA_vOTU_2050",12010,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,"SUBSURFACE",16,18,11,8,12,12,4,0,4,4,9,4,78,402,5,56,20,25,1806,680,3,28,10,222
"DNA_vOTU_9289",12008,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNA_vOTU_8799",11994,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,NA,17,28,44,14,23,35,14,3,10,13,17,11,16,16,27,22,687,40,7,3,11,6,80,23
"DNA_vOTU_3602",11979,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,"SUBSURFACE",5,0,3,9,4,0,2,0,3,4,1,0,36,58,2,13,254,465,53,34,0,16,66,163
"DNA_vOTU_9095",11976,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",1599,0,"NO",NA,"SUBSURFACE",15,19,28,358,177,30,18,4,9,103,109,7,859,714,8,1499,973,1107,544,439,14,1276,635,662
"DNA_vOTU_4675",11970,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",1599,0,"NO",NA,"SUBSURFACE",24,53,50,623,211,77,22,9,12,74,337,17,124,198,19,660,395,203,154,107,8,465,248,107
"DNA_vOTU_6802",11969,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,"SUBSURFACE",NA,6,11,0,85,879,61,4,4,3,65,165,4,0,0,0,2,4,3,0,5,3,0,5,0
"DNA_vOTU_8208",11968,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Frankiaceae","Frankia","WIsH","Singleton",NA,NA,NA,NA,"SUBSURFACE",66,64,143,134,201,175,98,22,24,82,58,24,303,261,36,38,110,436,241,290,24,39,158,774
"DNA_vOTU_4342",11967,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Luteitalea","WIsH","Clustered",423,0,"NO","SURFACE",NA,136,224,2073,850,569,151,178,120,1477,1978,141,70,2154,2348,2966,4092,1787,2557,1408,1043,1283,1466,1473,2061
"DNA_vOTU_9037",11959,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Micromonosporaceae","Actinoplanes","WIsH","Clustered",423,0,"NO","SUBSURFACE",NA,996,474,213,270,510,861,1085,995,75,158,462,460,121,105,112,92,176,190,52,77,82,49,81,138
"DNA_vOTU_186",11954,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","YES",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,NA,20,18,48,26,60,48,23,11,17,26,21,4,55,48,19,38,757,170,48,48,22,46,417,59
"DNA_vOTU_8900",11945,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Luteitalea","WIsH","Singleton",NA,NA,NA,NA,NA,219,103,122,88,127,935,344,206,47,24,30,133,38,27,23,29,40,29,20,14,22,10,22,19
"DNA_vOTU_7495",11932,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Propionibacteriaceae",NA,"WIsH","Clustered",1755,0,"NO",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNA_vOTU_2547",11928,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO","Pseudomonadota","BetaPseudomonadota","Burkholderiales","Comamonadaceae","Mitsuaria","WIsH","Clustered",1116,0,"NO",NA,NA,62,94,165,588,430,198,104,37,53,774,1007,94,77,77,44,171,392,280,26,36,22,303,360,121
"DNA_vOTU_7114",11926,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Labilitrichaceae","Labilithrix","WIsH","Clustered",1753,0,"NO","SUBSURFACE",NA,490,400,74,56,117,544,598,833,27,30,64,102,57,60,33,47,83,45,24,38,20,54,46,40
"DNA_vOTU_3008",11923,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,"SUBSURFACE",2,4,9,12,8,2,2,1,3,12,19,1,216,101,2,2,5,42,51,8,6,5,6,1416
"DNA_vOTU_7202",11921,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,"SURFACE",NA,27,48,1007,41,50,47,26,9,1147,41,21,6,38,68,54,68,38,20,32,56,51,85,40,59
"DNA_vOTU_9096",11917,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,NA,14,14,32,23,42,27,17,4,12,6,11,1,22,56,4,692,38,23,72,3,47,423,33,17
"DNA_vOTU_468",11915,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Polyangiaceae","Sorangium","WIsH","Singleton",NA,NA,NA,NA,NA,1337,1873,2486,803,855,1152,1315,2445,1898,930,1002,896,2347,2171,1710,2048,1293,1303,1648,1846,880,918,950,1259
"DNA_vOTU_1536",11913,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,"SUBSURFACE",3,0,11,6,2,9,7,0,0,1,1,0,618,278,5,0,0,110,106,28,2,0,9,4103
"DNA_vOTU_2576",11911,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",1306,0,"NO",NA,"SUBSURFACE",5,2,210,85,27,11,0,0,3,36,14,2,643,387,53,413,174,390,436,870,7,493,142,361
"DNA_vOTU_3643",11911,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",660,0,"NO",NA,NA,13,31,254,2822,646,111,11,72,34,1837,533,17,10,23,8,10,23,40,7,1,10,8,0,10
"DNA_vOTU_9097",11911,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Outlier",NA,NA,"YES","SURFACE",NA,11,12,689,114,78,12,5,0,12,22,41,2,182,114,294,831,327,192,198,100,76,404,253,210
"DNA_vOTU_9917",11911,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Actinosynnemataceae","Kutzneria","WIsH","Outlier",NA,NA,"YES",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNA_vOTU_1745",11908,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Actinosynnemataceae","Kibdelosporangium","WIsH","Singleton",NA,NA,NA,"SUBSURFACE",NA,65,59,78,628,683,647,67,17,18,71,694,83,14,18,22,25,35,30,13,14,20,14,16,34
"DNA_vOTU_5409",11906,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO","Nitrospirota","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","WIsH","Clustered",1268,0,"NO",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNA_vOTU_127",11901,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","YES",NA,NA,NA,NA,NA,NA,"Clustered",423,0,"NO",NA,NA,60,164,157,1097,336,87,84,81,47,1750,353,42,1670,1522,225,1139,881,1407,737,1007,78,339,1031,1258
"DNA_vOTU_2076",11901,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Clustered",447,0,"NO",NA,NA,6,33,831,1063,670,64,22,18,304,830,413,11,1508,1038,510,1293,1640,2191,1080,579,292,1323,1682,2463
"DNA_vOTU_7705",11898,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",1049,0,"NO",NA,"SUBSURFACE",3,4,15,10,20,17,11,2,7,2,8,4,340,199,0,2,1,83,102,17,8,3,9,2454
"DNA_vOTU_1277",11897,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Clustered",816,0,"NO",NA,"SURFACE",64,68,89,81,122,176,103,75,75,57,78,447,35,42,56,48,43,54,25,29,42,26,38,41
"DNA_vOTU_69",11895,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","YES",NA,NA,NA,NA,NA,NA,"Clustered",1738,0,"NO",NA,"SUBSURFACE",18,5,11,47,43,24,31,4,2,20,19,10,910,585,2,47,89,451,317,159,0,53,41,279
"DNA_vOTU_3273",11895,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Clustered",1442,0,"NO",NA,"SUBSURFACE",11,14,17,394,74,18,13,2,1,49,36,3,173,226,10,4813,423,202,136,81,7,2235,140,264
"DNA_vOTU_6931",11895,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,"SUBSURFACE","SUBSURFACE",40,30,46,188,244,174,87,49,15,133,237,62,115,105,24,110,133,550,130,82,25,113,175,97
"DNA_vOTU_7963",11891,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Outlier",NA,NA,"YES",NA,"SUBSURFACE",6,13,21,11,21,19,3,2,5,6,8,0,134,133,54,686,849,301,110,64,28,660,325,276
"DNA_vOTU_598",11889,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,"SUBSURFACE",NA,1491,945,108,204,184,622,1719,958,41,132,309,261,94,129,110,162,176,141,52,56,85,123,155,121
"DNA_vOTU_9242",11889,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Outlier",NA,NA,"YES","SUBSURFACE",NA,402,234,14,71,385,1131,727,271,2,12,516,798,2,5,1,2,31,9,0,0,2,4,20,2
"DNA_vOTU_4676",11888,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",791,0,"NO",NA,NA,4,8,23,616,126,4,4,1,6,92,24,0,1,4,5,13,25,0,15,3,2,23,29,0
"DNA_vOTU_2719",11885,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,"SUBSURFACE",1,3,3,0,5,0,5,2,2,0,11,2,309,155,1,2,1,63,88,9,3,1,2,2183
"DNA_vOTU_5677",11885,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Clustered",1299,0,"NO",NA,NA,14,23,314,891,197,31,13,0,102,300,143,2,664,612,239,1484,1469,1151,395,263,129,1029,1449,1000
"DNA_vOTU_923",11880,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Nocardioidaceae","Kribbella","WIsH","Outlier",NA,NA,"YES","SUBSURFACE",NA,946,2526,229,230,391,826,1258,2452,58,113,218,334,84,76,71,77,144,101,43,62,82,52,47,87
"DNA_vOTU_5262",11871,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",1645,0,"NO",NA,"SUBSURFACE",1,5,5,5,5,2,6,0,0,1,1,0,185,29,4,2,29,458,120,29,6,6,89,175
"DNA_vOTU_181",11870,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","YES",NA,NA,NA,NA,NA,NA,"Outlier",NA,NA,"YES","SUBSURFACE",NA,3036,2465,395,265,814,6599,3628,4115,157,303,1563,3201,555,393,441,542,871,299,401,300,224,455,584,190
"DNA_vOTU_1493",11869,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Outlier",NA,NA,"YES","SUBSURFACE","SUBSURFACE",1818,382,77,126,269,1209,912,627,24,159,829,480,212,227,20,130,183,226,149,215,27,176,178,206
"DNA_vOTU_1853",11869,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Labilitrichaceae","Labilithrix","WIsH","Singleton",NA,NA,NA,NA,NA,58,57,80,90,957,1941,70,26,20,22,115,259,15,30,16,24,44,39,11,9,12,16,13,17
"DNA_vOTU_3028",11866,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Clustered",473,0,"NO",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNA_vOTU_550",11862,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptomycetaceae","Streptomyces","WIsH","Clustered",812,0,"NO","SUBSURFACE",NA,3339,1413,80,724,569,1376,3053,1445,20,399,1460,869,108,62,40,137,267,265,116,51,21,215,168,149
"DNA_vOTU_3965",11862,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,NA,10,12,11,16,24,20,8,3,6,7,7,5,95,44,5,5,25,121,29,0,8,4,4,407
"DNA_vOTU_1939",11857,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Outlier",NA,NA,"YES",NA,"SURFACE",5,1,8,7,17,10,2,0,0,5,5,1,2,3,7,5,11,5,8,1,481,12,4,10
"DNA_vOTU_4139",11855,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Outlier",NA,NA,"YES",NA,"SURFACE",957,729,623,675,252,517,1125,869,248,770,409,242,106,127,546,479,301,192,106,66,438,210,246,135
"DNA_vOTU_1905",11850,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Micromonosporaceae","Verrucosispora","WIsH","Clustered",800,0,"NO",NA,NA,206,233,340,233,242,269,108,381,113,109,560,68,528,259,239,193,220,668,352,182,71,111,315,530
"DNA_vOTU_4796",11847,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",1384,0,"NO",NA,NA,20,28,48,1769,295,42,12,13,20,912,38,5,16,34,62,189,25,15,19,8,59,136,18,31
"DNA_vOTU_3632",11838,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,"SUBSURFACE",1,2,3,5,10,3,3,1,0,7,0,2,35,42,4,22,299,494,42,26,2,26,69,143
"DNA_vOTU_5965",11836,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,NA,37,28,125,131,90,65,34,27,50,113,68,15,170,378,92,1017,625,458,257,202,94,624,605,352
"DNA_vOTU_6688",11836,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO","Pseudomonadota","BetaPseudomonadota","Burkholderiales","Burkholderiaceae","Salinispora","WIsH","Singleton",NA,NA,NA,"SUBSURFACE",NA,3796,1326,78,134,148,1047,784,7486,42,45,111,295,32,48,48,31,45,31,20,27,21,17,29,40
"DNA_vOTU_5270",11826,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Catenulisporales","Catenulisporaceae","Catenulispora","WIsH","Clustered",1419,0,"NO",NA,"SUBSURFACE",71,89,182,159,176,175,94,37,57,146,138,62,152,92,44,937,420,246,68,25,36,448,1585,379
"DNA_vOTU_1622",11821,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",647,0,"NO",NA,NA,18,30,51,56,326,76,41,29,22,36,454,311,44,48,15,60,661,85,34,34,19,121,181,94
"DNA_vOTU_1537",11814,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Clustered",457,0,"NO",NA,"SUBSURFACE",0,0,2,10,12,2,0,2,2,4,0,0,349,170,0,2,0,71,93,7,2,0,6,2481
"DNA_vOTU_8800",11809,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,"SURFACE","SURFACE",92,125,1440,614,655,114,83,96,1218,389,517,95,324,446,1450,802,1292,548,275,297,805,519,565,293
"DNA_vOTU_7066",11803,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,"SURFACE",9,11,33,21,15,22,5,0,6,6,8,8,18,24,561,201,28,6,6,4,42,27,11,3
"DNA_vOTU_4193",11802,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Clustered",498,0,"NO",NA,NA,27,9,5,125,90,61,3,11,11,23721,67,13,0,4,2,16,10,7,2,0,2,2,2,4
"DNA_vOTU_2053",11797,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",1128,0,"NO",NA,"SUBSURFACE",11,17,17,10,96,12,9,1,7,9,19,6,987,903,1,5,120,3829,974,1270,3,17,231,3200
"DNA_vOTU_1886",11788,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,"SURFACE","SURFACE",7,2,124,1,11,3,6,3,21,0,4,0,0,4,104,4,5,0,2,0,542,5,2,0
"DNA_vOTU_1932",11782,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,"SUBSURFACE",7,3,10,41,25,13,5,1,7,16,6,5,206,259,9,91,904,923,1405,184,10,386,562,617
"DNA_vOTU_3443",11776,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",626,0,"NO",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNA_vOTU_8801",11773,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Clustered",1660,0,"NO","SURFACE",NA,9,32,655,205,63,45,30,8,436,51,79,9,646,1502,578,2064,1454,1987,1742,703,612,2723,1501,1035
"DNA_vOTU_10177",11755,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Outlier",NA,NA,"YES",NA,NA,19,26,163,181,106,37,8,8,93,191,83,15,581,384,151,438,969,2497,893,277,91,422,928,1310
"DNA_vOTU_8901",11754,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,"SUBSURFACE",NA,1071,728,4,22,253,817,1031,1549,2,2,5,293,283,180,10,32,92,230,206,52,12,8,86,87
