sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
Sage2_R_80_16_scaffold_6127_CBASS_II_145	CBASS	CBASS_II	Sage2_R_80_16_scaffold_6127_5	Sage2_R_80_16_scaffold_6127_7	Sage2_R_80_16_scaffold_6127_5,Sage2_R_80_16_scaffold_6127_6,Sage2_R_80_16_scaffold_6127_7	3	Sensing_SAVED,Cyclase_II,E2_II
Sage1_L_100_16_scaffold_1297_RM_Type_IIG_130	RM	RM_Type_IIG	Sage1_L_100_16_scaffold_1297_25	Sage1_L_100_16_scaffold_1297_25	Sage1_L_100_16_scaffold_1297_25	1	Type_IIG
Sage1_L_100_16_scaffold_1459_RM_Type_IIG_131	RM	RM_Type_IIG	Sage1_L_100_16_scaffold_1459_12	Sage1_L_100_16_scaffold_1459_12	Sage1_L_100_16_scaffold_1459_12	1	Type_IIG
Sage1_L_100_16_scaffold_147_RM_Type_I_1	RM	RM_Type_I	Sage1_L_100_16_scaffold_147_156	Sage1_L_100_16_scaffold_147_161	Sage1_L_100_16_scaffold_147_156,Sage1_L_100_16_scaffold_147_157,Sage1_L_100_16_scaffold_147_161	3	Type_I_MTases,Type_I_S,Type_I_REases
Sage1_L_100_16_scaffold_16972_RM_Type_I_2	RM	RM_Type_I	Sage1_L_100_16_scaffold_16972_2	Sage1_L_100_16_scaffold_16972_7	Sage1_L_100_16_scaffold_16972_2,Sage1_L_100_16_scaffold_16972_6,Sage1_L_100_16_scaffold_16972_7	3	Type_I_MTases,Type_I_REases,Type_I_REases
Sage1_L_100_16_scaffold_17805_RM_Type_II_269	RM	RM_Type_II	Sage1_L_100_16_scaffold_17805_5	Sage1_L_100_16_scaffold_17805_6	Sage1_L_100_16_scaffold_17805_5,Sage1_L_100_16_scaffold_17805_6	2	Type_II_REases,Type_II_MTases
Sage1_L_100_16_scaffold_19087_RM_Type_IV_384	RM	RM_Type_IV	Sage1_L_100_16_scaffold_19087_2	Sage1_L_100_16_scaffold_19087_2	Sage1_L_100_16_scaffold_19087_2	1	Type_IV_REases
Sage1_L_100_16_scaffold_1959_RM_Type_IIG_132	RM	RM_Type_IIG	Sage1_L_100_16_scaffold_1959_9	Sage1_L_100_16_scaffold_1959_9	Sage1_L_100_16_scaffold_1959_9	1	Type_IIG
Sage1_L_100_16_scaffold_22389_RM_Type_I_3	RM	RM_Type_I	Sage1_L_100_16_scaffold_22389_4	Sage1_L_100_16_scaffold_22389_6	Sage1_L_100_16_scaffold_22389_4,Sage1_L_100_16_scaffold_22389_5,Sage1_L_100_16_scaffold_22389_6	3	Type_I_MTases,Type_I_S,Type_I_REases
Sage1_L_100_16_scaffold_25152_RM_Type_III_103	RM	RM_Type_III	Sage1_L_100_16_scaffold_25152_2	Sage1_L_100_16_scaffold_25152_3	Sage1_L_100_16_scaffold_25152_2,Sage1_L_100_16_scaffold_25152_3	2	Type_III_REases,Type_III_MTases
Sage1_L_100_16_scaffold_25362_RM_Type_IIG_133	RM	RM_Type_IIG	Sage1_L_100_16_scaffold_25362_3	Sage1_L_100_16_scaffold_25362_3	Sage1_L_100_16_scaffold_25362_3	1	Type_IIG
Sage1_L_100_16_scaffold_38622_RM_Type_II_270	RM	RM_Type_II	Sage1_L_100_16_scaffold_38622_5	Sage1_L_100_16_scaffold_38622_6	Sage1_L_100_16_scaffold_38622_5,Sage1_L_100_16_scaffold_38622_6	2	Type_II_REases,Type_II_MTases
Sage1_L_100_16_scaffold_5425_RM_Type_IIG_134	RM	RM_Type_IIG	Sage1_L_100_16_scaffold_5425_12	Sage1_L_100_16_scaffold_5425_12	Sage1_L_100_16_scaffold_5425_12	1	Type_IIG
Sage1_L_100_16_scaffold_54731_RM_Type_II_271	RM	RM_Type_II	Sage1_L_100_16_scaffold_54731_2	Sage1_L_100_16_scaffold_54731_4	Sage1_L_100_16_scaffold_54731_2,Sage1_L_100_16_scaffold_54731_4	2	Type_II_MTases,Type_II_REases
Sage1_L_100_16_scaffold_6597_RM_Type_IV_385	RM	RM_Type_IV	Sage1_L_100_16_scaffold_6597_3	Sage1_L_100_16_scaffold_6597_4	Sage1_L_100_16_scaffold_6597_3,Sage1_L_100_16_scaffold_6597_4	2	Type_IV_REases,Type_IV_REases
Sage1_L_113_16_scaffold_12680_RM_Type_II_272	RM	RM_Type_II	Sage1_L_113_16_scaffold_12680_3	Sage1_L_113_16_scaffold_12680_4	Sage1_L_113_16_scaffold_12680_3,Sage1_L_113_16_scaffold_12680_4	2	Type_II_MTases,Type_II_REases
Sage1_L_113_16_scaffold_1579_RM_Type_I_4	RM	RM_Type_I	Sage1_L_113_16_scaffold_1579_15	Sage1_L_113_16_scaffold_1579_16	Sage1_L_113_16_scaffold_1579_15,Sage1_L_113_16_scaffold_1579_16	2	Type_I_MTases,Type_I_REases
Sage1_L_113_16_scaffold_1632_RM_Type_I_5	RM	RM_Type_I	Sage1_L_113_16_scaffold_1632_10	Sage1_L_113_16_scaffold_1632_13	Sage1_L_113_16_scaffold_1632_10,Sage1_L_113_16_scaffold_1632_11,Sage1_L_113_16_scaffold_1632_12,Sage1_L_113_16_scaffold_1632_13	4	Type_I_REases,Type_I_REases,Type_I_S,Type_I_MTases
Sage1_L_113_16_scaffold_21940_RM_Type_II_273	RM	RM_Type_II	Sage1_L_113_16_scaffold_21940_2	Sage1_L_113_16_scaffold_21940_3	Sage1_L_113_16_scaffold_21940_2,Sage1_L_113_16_scaffold_21940_3	2	Type_II_REases,Type_II_MTases
Sage1_L_113_16_scaffold_26492_RM_Type_II_274	RM	RM_Type_II	Sage1_L_113_16_scaffold_26492_3	Sage1_L_113_16_scaffold_26492_7	Sage1_L_113_16_scaffold_26492_3,Sage1_L_113_16_scaffold_26492_7	2	Type_II_MTases,Type_II_REases
Sage1_L_113_16_scaffold_26729_RM_Type_I_6	RM	RM_Type_I	Sage1_L_113_16_scaffold_26729_1	Sage1_L_113_16_scaffold_26729_5	Sage1_L_113_16_scaffold_26729_1,Sage1_L_113_16_scaffold_26729_2,Sage1_L_113_16_scaffold_26729_5	3	Type_I_MTases,Type_I_S,Type_I_REases
Sage1_L_113_16_scaffold_28865_RM_Type_II_275	RM	RM_Type_II	Sage1_L_113_16_scaffold_28865_3	Sage1_L_113_16_scaffold_28865_4	Sage1_L_113_16_scaffold_28865_3,Sage1_L_113_16_scaffold_28865_4	2	Type_II_MTases,Type_II_REases
Sage1_L_113_16_scaffold_2898_RM_Type_IIG_135	RM	RM_Type_IIG	Sage1_L_113_16_scaffold_2898_14	Sage1_L_113_16_scaffold_2898_14	Sage1_L_113_16_scaffold_2898_14	1	Type_IIG
Sage1_L_113_16_scaffold_295_RM_Type_IIG_136	RM	RM_Type_IIG	Sage1_L_113_16_scaffold_295_71	Sage1_L_113_16_scaffold_295_71	Sage1_L_113_16_scaffold_295_71	1	Type_IIG
Sage1_L_113_16_scaffold_40232_RM_Type_IIG_137	RM	RM_Type_IIG	Sage1_L_113_16_scaffold_40232_2	Sage1_L_113_16_scaffold_40232_2	Sage1_L_113_16_scaffold_40232_2	1	Type_IIG
Sage1_L_113_16_scaffold_51729_RM_Type_IIG_138	RM	RM_Type_IIG	Sage1_L_113_16_scaffold_51729_1	Sage1_L_113_16_scaffold_51729_1	Sage1_L_113_16_scaffold_51729_1	1	Type_IIG
Sage1_L_113_16_scaffold_51894_RM_Type_IIG_139	RM	RM_Type_IIG	Sage1_L_113_16_scaffold_51894_4	Sage1_L_113_16_scaffold_51894_4	Sage1_L_113_16_scaffold_51894_4	1	Type_IIG
Sage1_L_113_16_scaffold_5669_RM_Type_II_276	RM	RM_Type_II	Sage1_L_113_16_scaffold_5669_15	Sage1_L_113_16_scaffold_5669_16	Sage1_L_113_16_scaffold_5669_15,Sage1_L_113_16_scaffold_5669_16	2	Type_II_REases,Type_II_MTases
Sage1_L_113_16_scaffold_840_RM_Type_II_277	RM	RM_Type_II	Sage1_L_113_16_scaffold_840_41	Sage1_L_113_16_scaffold_840_42	Sage1_L_113_16_scaffold_840_41,Sage1_L_113_16_scaffold_840_42	2	Type_II_MTases,Type_II_REases
Sage1_L_20_16_scaffold_140_RM_Type_IIG_140	RM	RM_Type_IIG	Sage1_L_20_16_scaffold_140_34	Sage1_L_20_16_scaffold_140_34	Sage1_L_20_16_scaffold_140_34	1	Type_IIG
Sage1_L_20_16_scaffold_14902_RM_Type_IV_386	RM	RM_Type_IV	Sage1_L_20_16_scaffold_14902_5	Sage1_L_20_16_scaffold_14902_5	Sage1_L_20_16_scaffold_14902_5	1	Type_IV_REases
Sage1_L_20_16_scaffold_19513_RM_Type_I_7	RM	RM_Type_I	Sage1_L_20_16_scaffold_19513_1	Sage1_L_20_16_scaffold_19513_6	Sage1_L_20_16_scaffold_19513_1,Sage1_L_20_16_scaffold_19513_2,Sage1_L_20_16_scaffold_19513_6	3	Type_I_MTases,Type_I_S,Type_I_REases
Sage1_L_20_16_scaffold_429_RM_Type_II_278	RM	RM_Type_II	Sage1_L_20_16_scaffold_429_26	Sage1_L_20_16_scaffold_429_27	Sage1_L_20_16_scaffold_429_26,Sage1_L_20_16_scaffold_429_27	2	Type_II_MTases,Type_II_REases
Sage1_L_20_16_scaffold_84_RM_Type_I_8	RM	RM_Type_I	Sage1_L_20_16_scaffold_84_23	Sage1_L_20_16_scaffold_84_25	Sage1_L_20_16_scaffold_84_23,Sage1_L_20_16_scaffold_84_24,Sage1_L_20_16_scaffold_84_25	3	Type_I_REases,Type_I_MTases,Type_I_S
Sage1_L_40_16_scaffold_1019_RM_Type_IV_142	RM	RM_Type_IV	Sage1_L_40_16_scaffold_1019_25	Sage1_L_40_16_scaffold_1019_26	Sage1_L_40_16_scaffold_1019_25,Sage1_L_40_16_scaffold_1019_26	2	Type_IV_REases,Type_IV_REases
Sage1_L_40_16_scaffold_1019_RM_Type_IIG_141	RM	RM_Type_IIG	Sage1_L_40_16_scaffold_1019_27	Sage1_L_40_16_scaffold_1019_27	Sage1_L_40_16_scaffold_1019_27	1	Type_IIG
Sage1_L_40_16_scaffold_1031_RM_Type_II_279	RM	RM_Type_II	Sage1_L_40_16_scaffold_1031_42	Sage1_L_40_16_scaffold_1031_43	Sage1_L_40_16_scaffold_1031_42,Sage1_L_40_16_scaffold_1031_43	2	Type_II_REases,Type_II_MTases
Sage1_L_40_16_scaffold_11474_RM_Type_IIG_143	RM	RM_Type_IIG	Sage1_L_40_16_scaffold_11474_1	Sage1_L_40_16_scaffold_11474_1	Sage1_L_40_16_scaffold_11474_1	1	Type_IIG
Sage1_L_40_16_scaffold_11519_RM_Type_II_280	RM	RM_Type_II	Sage1_L_40_16_scaffold_11519_13	Sage1_L_40_16_scaffold_11519_14	Sage1_L_40_16_scaffold_11519_13,Sage1_L_40_16_scaffold_11519_14	2	Type_II_REases,Type_II_MTases
Sage1_L_40_16_scaffold_126_RM_Type_I_9	RM	RM_Type_I	Sage1_L_40_16_scaffold_126_30	Sage1_L_40_16_scaffold_126_32	Sage1_L_40_16_scaffold_126_30,Sage1_L_40_16_scaffold_126_31,Sage1_L_40_16_scaffold_126_32	3	Type_I_REases,Type_I_MTases,Type_I_S
Sage1_L_40_16_scaffold_1277_RM_Type_II_281	RM	RM_Type_II	Sage1_L_40_16_scaffold_1277_12	Sage1_L_40_16_scaffold_1277_13	Sage1_L_40_16_scaffold_1277_12,Sage1_L_40_16_scaffold_1277_13	2	Type_II_REases,Type_II_MTases
Sage1_L_40_16_scaffold_1556_RM_Type_IIG_144	RM	RM_Type_IIG	Sage1_L_40_16_scaffold_1556_6	Sage1_L_40_16_scaffold_1556_6	Sage1_L_40_16_scaffold_1556_6	1	Type_IIG
Sage1_L_40_16_scaffold_1757_RM_Type_II_282	RM	RM_Type_II	Sage1_L_40_16_scaffold_1757_9	Sage1_L_40_16_scaffold_1757_10	Sage1_L_40_16_scaffold_1757_9,Sage1_L_40_16_scaffold_1757_10	2	Type_II_REases,Type_II_MTases
Sage1_L_40_16_scaffold_17702_RM_Type_IIG_145	RM	RM_Type_IIG	Sage1_L_40_16_scaffold_17702_3	Sage1_L_40_16_scaffold_17702_3	Sage1_L_40_16_scaffold_17702_3	1	Type_IIG
Sage1_L_40_16_scaffold_2086_RM_Type_IIG_146	RM	RM_Type_IIG	Sage1_L_40_16_scaffold_2086_27	Sage1_L_40_16_scaffold_2086_27	Sage1_L_40_16_scaffold_2086_27	1	Type_IIG
Sage1_L_40_16_scaffold_22071_RM_Type_II_283	RM	RM_Type_II	Sage1_L_40_16_scaffold_22071_3	Sage1_L_40_16_scaffold_22071_4	Sage1_L_40_16_scaffold_22071_3,Sage1_L_40_16_scaffold_22071_4	2	Type_II_MTases,Type_II_REases
Sage1_L_40_16_scaffold_22095_RM_Type_IIG_147	RM	RM_Type_IIG	Sage1_L_40_16_scaffold_22095_2	Sage1_L_40_16_scaffold_22095_2	Sage1_L_40_16_scaffold_22095_2	1	Type_IIG
Sage1_L_40_16_scaffold_23280_RM_Type_IIG_148	RM	RM_Type_IIG	Sage1_L_40_16_scaffold_23280_4	Sage1_L_40_16_scaffold_23280_4	Sage1_L_40_16_scaffold_23280_4	1	Type_IIG
Sage1_L_40_16_scaffold_26065_RM_Type_IIG_149	RM	RM_Type_IIG	Sage1_L_40_16_scaffold_26065_4	Sage1_L_40_16_scaffold_26065_4	Sage1_L_40_16_scaffold_26065_4	1	Type_IIG
Sage1_L_40_16_scaffold_26923_RM_Type_IV_387	RM	RM_Type_IV	Sage1_L_40_16_scaffold_26923_1	Sage1_L_40_16_scaffold_26923_1	Sage1_L_40_16_scaffold_26923_1	1	Type_IV_REases
Sage1_L_40_16_scaffold_29857_RM_Type_IV_388	RM	RM_Type_IV	Sage1_L_40_16_scaffold_29857_3	Sage1_L_40_16_scaffold_29857_3	Sage1_L_40_16_scaffold_29857_3	1	Type_IV_REases
Sage1_L_40_16_scaffold_31792_RM_Type_IIG_150	RM	RM_Type_IIG	Sage1_L_40_16_scaffold_31792_6	Sage1_L_40_16_scaffold_31792_6	Sage1_L_40_16_scaffold_31792_6	1	Type_IIG
Sage1_L_40_16_scaffold_3350_RM_Type_II_284	RM	RM_Type_II	Sage1_L_40_16_scaffold_3350_9	Sage1_L_40_16_scaffold_3350_11	Sage1_L_40_16_scaffold_3350_9,Sage1_L_40_16_scaffold_3350_11	2	Type_II_REases,Type_II_MTases
Sage1_L_40_16_scaffold_34931_RM_Type_IIG_151	RM	RM_Type_IIG	Sage1_L_40_16_scaffold_34931_1	Sage1_L_40_16_scaffold_34931_1	Sage1_L_40_16_scaffold_34931_1	1	Type_IIG
Sage1_L_40_16_scaffold_3721_RM_Type_IIG_152	RM	RM_Type_IIG	Sage1_L_40_16_scaffold_3721_9	Sage1_L_40_16_scaffold_3721_9	Sage1_L_40_16_scaffold_3721_9	1	Type_IIG
Sage1_L_40_16_scaffold_3791_RM_Type_III_104	RM	RM_Type_III	Sage1_L_40_16_scaffold_3791_9	Sage1_L_40_16_scaffold_3791_10	Sage1_L_40_16_scaffold_3791_9,Sage1_L_40_16_scaffold_3791_10	2	Type_III_REases,Type_III_MTases
Sage1_L_40_16_scaffold_3830_RM_Type_IV_285	RM	RM_Type_IV	Sage1_L_40_16_scaffold_3830_1	Sage1_L_40_16_scaffold_3830_1	Sage1_L_40_16_scaffold_3830_1	1	Type_IV_REases
Sage1_L_40_16_scaffold_4498_RM_Type_IV_389	RM	RM_Type_IV	Sage1_L_40_16_scaffold_4498_10	Sage1_L_40_16_scaffold_4498_11	Sage1_L_40_16_scaffold_4498_10,Sage1_L_40_16_scaffold_4498_11	2	Type_IV_REases,Type_IV_REases
Sage1_L_40_16_scaffold_47523_RM_Type_IV_390	RM	RM_Type_IV	Sage1_L_40_16_scaffold_47523_4	Sage1_L_40_16_scaffold_47523_4	Sage1_L_40_16_scaffold_47523_4	1	Type_IV_REases
Sage1_L_40_16_scaffold_49274_RM_Type_I_10	RM	RM_Type_I	Sage1_L_40_16_scaffold_49274_1	Sage1_L_40_16_scaffold_49274_2	Sage1_L_40_16_scaffold_49274_1,Sage1_L_40_16_scaffold_49274_2	2	Type_I_MTases,Type_I_REases
Sage1_L_40_16_scaffold_4964_RM_Type_IV_391	RM	RM_Type_IV	Sage1_L_40_16_scaffold_4964_6	Sage1_L_40_16_scaffold_4964_6	Sage1_L_40_16_scaffold_4964_6	1	Type_IV_REases
Sage1_L_40_16_scaffold_5542_RM_Type_II_286	RM	RM_Type_II	Sage1_L_40_16_scaffold_5542_2	Sage1_L_40_16_scaffold_5542_7	Sage1_L_40_16_scaffold_5542_2,Sage1_L_40_16_scaffold_5542_3,Sage1_L_40_16_scaffold_5542_7	3	Type_II_MTases,Type_II_REases,Type_II_REases
Sage1_L_40_16_scaffold_65830_RM_Type_IV_11	RM	RM_Type_IV	Sage1_L_40_16_scaffold_65830_2	Sage1_L_40_16_scaffold_65830_2	Sage1_L_40_16_scaffold_65830_2	1	Type_IV_REases
Sage1_L_40_16_scaffold_72309_RM_Type_I_126	RM	RM_Type_I	Sage1_L_40_16_scaffold_72309_1	Sage1_L_40_16_scaffold_72309_4	Sage1_L_40_16_scaffold_72309_1,Sage1_L_40_16_scaffold_72309_3,Sage1_L_40_16_scaffold_72309_4	3	Type_I_MTases,Type_I_S,Type_I_REases
Sage1_L_40_16_scaffold_7565_RM_Type_II_287	RM	RM_Type_II	Sage1_L_40_16_scaffold_7565_15	Sage1_L_40_16_scaffold_7565_17	Sage1_L_40_16_scaffold_7565_15,Sage1_L_40_16_scaffold_7565_16,Sage1_L_40_16_scaffold_7565_17	3	Type_II_REases,Type_II_MTases,Type_II_MTases
Sage1_L_40_16_scaffold_7894_RM_Type_IV_392	RM	RM_Type_IV	Sage1_L_40_16_scaffold_7894_11	Sage1_L_40_16_scaffold_7894_11	Sage1_L_40_16_scaffold_7894_11	1	Type_IV_REases
Sage1_L_60_16_scaffold_104080_RM_Type_IIG_153	RM	RM_Type_IIG	Sage1_L_60_16_scaffold_104080_1	Sage1_L_60_16_scaffold_104080_1	Sage1_L_60_16_scaffold_104080_1	1	Type_IIG
Sage1_L_60_16_scaffold_11324_RM_Type_IIG_154	RM	RM_Type_IIG	Sage1_L_60_16_scaffold_11324_13	Sage1_L_60_16_scaffold_11324_13	Sage1_L_60_16_scaffold_11324_13	1	Type_IIG
Sage1_L_60_16_scaffold_1168_RM_Type_II_288	RM	RM_Type_II	Sage1_L_60_16_scaffold_1168_27	Sage1_L_60_16_scaffold_1168_31	Sage1_L_60_16_scaffold_1168_27,Sage1_L_60_16_scaffold_1168_29,Sage1_L_60_16_scaffold_1168_30,Sage1_L_60_16_scaffold_1168_31	4	Type_II_REases,Type_II_REases,Type_II_REases,Type_II_MTases
Sage1_L_60_16_scaffold_12657_RM_Type_III_105	RM	RM_Type_III	Sage1_L_60_16_scaffold_12657_2	Sage1_L_60_16_scaffold_12657_4	Sage1_L_60_16_scaffold_12657_2,Sage1_L_60_16_scaffold_12657_4	2	Type_III_MTases,Type_III_REases
Sage1_L_60_16_scaffold_137_RM_Type_IIG_155	RM	RM_Type_IIG	Sage1_L_60_16_scaffold_137_37	Sage1_L_60_16_scaffold_137_37	Sage1_L_60_16_scaffold_137_37	1	Type_IIG
Sage1_L_60_16_scaffold_13905_RM_Type_I_12	RM	RM_Type_I	Sage1_L_60_16_scaffold_13905_2	Sage1_L_60_16_scaffold_13905_6	Sage1_L_60_16_scaffold_13905_2,Sage1_L_60_16_scaffold_13905_3,Sage1_L_60_16_scaffold_13905_5,Sage1_L_60_16_scaffold_13905_6	4	Type_I_REases,Type_I_MTases,Type_I_MTases,Type_I_S
Sage1_L_60_16_scaffold_1472_RM_Type_I_13	RM	RM_Type_I	Sage1_L_60_16_scaffold_1472_21	Sage1_L_60_16_scaffold_1472_24	Sage1_L_60_16_scaffold_1472_21,Sage1_L_60_16_scaffold_1472_23,Sage1_L_60_16_scaffold_1472_24	3	Type_I_REases,Type_I_S,Type_I_MTases
Sage1_L_60_16_scaffold_14796_RM_Type_IV_393	RM	RM_Type_IV	Sage1_L_60_16_scaffold_14796_1	Sage1_L_60_16_scaffold_14796_1	Sage1_L_60_16_scaffold_14796_1	1	Type_IV_REases
Sage1_L_60_16_scaffold_14804_RM_Type_IIG_156	RM	RM_Type_IIG	Sage1_L_60_16_scaffold_14804_1	Sage1_L_60_16_scaffold_14804_1	Sage1_L_60_16_scaffold_14804_1	1	Type_IIG
Sage1_L_60_16_scaffold_15047_RM_Type_I_14	RM	RM_Type_I	Sage1_L_60_16_scaffold_15047_1	Sage1_L_60_16_scaffold_15047_5	Sage1_L_60_16_scaffold_15047_1,Sage1_L_60_16_scaffold_15047_4,Sage1_L_60_16_scaffold_15047_5	3	Type_I_REases,Type_I_S,Type_I_MTases
Sage1_L_60_16_scaffold_15157_RM_Type_IIG_157	RM	RM_Type_IIG	Sage1_L_60_16_scaffold_15157_1	Sage1_L_60_16_scaffold_15157_1	Sage1_L_60_16_scaffold_15157_1	1	Type_IIG
Sage1_L_60_16_scaffold_15333_RM_Type_IIG_158	RM	RM_Type_IIG	Sage1_L_60_16_scaffold_15333_3	Sage1_L_60_16_scaffold_15333_3	Sage1_L_60_16_scaffold_15333_3	1	Type_IIG
Sage1_L_60_16_scaffold_15623_RM_Type_II_289	RM	RM_Type_II	Sage1_L_60_16_scaffold_15623_2	Sage1_L_60_16_scaffold_15623_3	Sage1_L_60_16_scaffold_15623_2,Sage1_L_60_16_scaffold_15623_3	2	Type_II_MTases,Type_II_REases
Sage1_L_60_16_scaffold_17283_RM_Type_IIG_159	RM	RM_Type_IIG	Sage1_L_60_16_scaffold_17283_4	Sage1_L_60_16_scaffold_17283_4	Sage1_L_60_16_scaffold_17283_4	1	Type_IIG
Sage1_L_60_16_scaffold_17837_RM_Type_IV_394	RM	RM_Type_IV	Sage1_L_60_16_scaffold_17837_3	Sage1_L_60_16_scaffold_17837_3	Sage1_L_60_16_scaffold_17837_3	1	Type_IV_REases
Sage1_L_60_16_scaffold_18359_RM_Type_I_15	RM	RM_Type_I	Sage1_L_60_16_scaffold_18359_1	Sage1_L_60_16_scaffold_18359_3	Sage1_L_60_16_scaffold_18359_1,Sage1_L_60_16_scaffold_18359_3	2	Type_I_REases,Type_I_MTases
Sage1_L_60_16_scaffold_1900_RM_Type_I_16	RM	RM_Type_I	Sage1_L_60_16_scaffold_1900_1	Sage1_L_60_16_scaffold_1900_5	Sage1_L_60_16_scaffold_1900_1,Sage1_L_60_16_scaffold_1900_2,Sage1_L_60_16_scaffold_1900_5	3	Type_I_MTases,Type_I_S,Type_I_REases
Sage1_L_60_16_scaffold_2279_RM_Type_I_17	RM	RM_Type_I	Sage1_L_60_16_scaffold_2279_8	Sage1_L_60_16_scaffold_2279_10	Sage1_L_60_16_scaffold_2279_8,Sage1_L_60_16_scaffold_2279_9,Sage1_L_60_16_scaffold_2279_10	3	Type_I_REases,Type_I_MTases,Type_I_S
Sage1_L_60_16_scaffold_2397_RM_Type_I_18	RM	RM_Type_I	Sage1_L_60_16_scaffold_2397_1	Sage1_L_60_16_scaffold_2397_5	Sage1_L_60_16_scaffold_2397_1,Sage1_L_60_16_scaffold_2397_2,Sage1_L_60_16_scaffold_2397_5	3	Type_I_REases,Type_I_S,Type_I_MTases
Sage1_L_60_16_scaffold_25422_RM_Type_IV_395	RM	RM_Type_IV	Sage1_L_60_16_scaffold_25422_2	Sage1_L_60_16_scaffold_25422_2	Sage1_L_60_16_scaffold_25422_2	1	Type_IV_REases
Sage1_L_60_16_scaffold_26683_RM_Type_IIG_160	RM	RM_Type_IIG	Sage1_L_60_16_scaffold_26683_1	Sage1_L_60_16_scaffold_26683_1	Sage1_L_60_16_scaffold_26683_1	1	Type_IIG
Sage1_L_60_16_scaffold_293_RM_Type_I_19	RM	RM_Type_I	Sage1_L_60_16_scaffold_293_90	Sage1_L_60_16_scaffold_293_94	Sage1_L_60_16_scaffold_293_90,Sage1_L_60_16_scaffold_293_93,Sage1_L_60_16_scaffold_293_94	3	Type_I_MTases,Type_I_S,Type_I_REases
Sage1_L_60_16_scaffold_29702_RM_Type_IV_396	RM	RM_Type_IV	Sage1_L_60_16_scaffold_29702_3	Sage1_L_60_16_scaffold_29702_3	Sage1_L_60_16_scaffold_29702_3	1	Type_IV_REases
Sage1_L_60_16_scaffold_308_RM_Type_IIG_161	RM	RM_Type_IIG	Sage1_L_60_16_scaffold_308_35	Sage1_L_60_16_scaffold_308_35	Sage1_L_60_16_scaffold_308_35	1	Type_IIG
Sage1_L_60_16_scaffold_3087_RM_Type_I_20	RM	RM_Type_I	Sage1_L_60_16_scaffold_3087_13	Sage1_L_60_16_scaffold_3087_16	Sage1_L_60_16_scaffold_3087_13,Sage1_L_60_16_scaffold_3087_14,Sage1_L_60_16_scaffold_3087_15,Sage1_L_60_16_scaffold_3087_16	4	Type_I_MTases,Type_I_S,Type_I_REases,Type_I_REases
Sage1_L_60_16_scaffold_3217_RM_Type_IV_397	RM	RM_Type_IV	Sage1_L_60_16_scaffold_3217_5	Sage1_L_60_16_scaffold_3217_5	Sage1_L_60_16_scaffold_3217_5	1	Type_IV_REases
Sage1_L_60_16_scaffold_32912_RM_Type_II_290	RM	RM_Type_II	Sage1_L_60_16_scaffold_32912_2	Sage1_L_60_16_scaffold_32912_3	Sage1_L_60_16_scaffold_32912_2,Sage1_L_60_16_scaffold_32912_3	2	Type_II_REases,Type_II_MTases
Sage1_L_60_16_scaffold_3400_RM_Type_IV_398	RM	RM_Type_IV	Sage1_L_60_16_scaffold_3400_13	Sage1_L_60_16_scaffold_3400_13	Sage1_L_60_16_scaffold_3400_13	1	Type_IV_REases
Sage1_L_60_16_scaffold_38761_RM_Type_IIG_162	RM	RM_Type_IIG	Sage1_L_60_16_scaffold_38761_1	Sage1_L_60_16_scaffold_38761_1	Sage1_L_60_16_scaffold_38761_1	1	Type_IIG
Sage1_L_60_16_scaffold_397_RM_Type_IIG_163	RM	RM_Type_IIG	Sage1_L_60_16_scaffold_397_31	Sage1_L_60_16_scaffold_397_31	Sage1_L_60_16_scaffold_397_31	1	Type_IIG
Sage1_L_60_16_scaffold_4179_RM_Type_I_21	RM	RM_Type_I	Sage1_L_60_16_scaffold_4179_1	Sage1_L_60_16_scaffold_4179_9	Sage1_L_60_16_scaffold_4179_1,Sage1_L_60_16_scaffold_4179_2,Sage1_L_60_16_scaffold_4179_5,Sage1_L_60_16_scaffold_4179_9	4	Type_I_MTases,Type_I_S,Type_I_REases,Type_I_REases
Sage1_L_60_16_scaffold_4348_RM_Type_II_291	RM	RM_Type_II	Sage1_L_60_16_scaffold_4348_9	Sage1_L_60_16_scaffold_4348_10	Sage1_L_60_16_scaffold_4348_9,Sage1_L_60_16_scaffold_4348_10	2	Type_II_MTases,Type_II_REases
Sage1_L_60_16_scaffold_438_RM_Type_IV_399	RM	RM_Type_IV	Sage1_L_60_16_scaffold_438_9	Sage1_L_60_16_scaffold_438_9	Sage1_L_60_16_scaffold_438_9	1	Type_IV_REases
Sage1_L_60_16_scaffold_439_RM_Type_IIG_164	RM	RM_Type_IIG	Sage1_L_60_16_scaffold_439_14	Sage1_L_60_16_scaffold_439_14	Sage1_L_60_16_scaffold_439_14	1	Type_IIG
Sage1_L_60_16_scaffold_45455_RM_Type_IV_400	RM	RM_Type_IV	Sage1_L_60_16_scaffold_45455_3	Sage1_L_60_16_scaffold_45455_3	Sage1_L_60_16_scaffold_45455_3	1	Type_IV_REases
Sage1_L_60_16_scaffold_48228_RM_Type_IIG_165	RM	RM_Type_IIG	Sage1_L_60_16_scaffold_48228_1	Sage1_L_60_16_scaffold_48228_1	Sage1_L_60_16_scaffold_48228_1	1	Type_IIG
