TARGET	PFAM	LOCUS	E-VAL	SCORE	BIAS	DESCRIPTION
DDE_Tnp_1	PF01609.21	SAGEDEP_115328	4.70E-28	89.2	2.5	Transposase DDE domain
DDE_Tnp_2	PF04693.12	SAGEDEP_115328	3.10E-08	24.1	3.6	Archaeal putative transposase ISC1217
Phage_integrase	PF00589.22	SAGEDEP_115357	5.40E-15	46.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_115417	1.10E-18	58.6	0	Phage integrase family
rve	PF00665.26	SAGEDEP_115450	7.40E-23	72	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_115458	1.50E-24	77.6	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_115463	1.10E-27	87.9	0.4	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_115463	7.90E-13	39.7	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_115479	2.50E-37	119.2	3.7	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_115479	5.10E-09	27.5	0	Recombinase
DDE_Tnp_IS1	PF03400.13	SAGEDEP_115573	2.90E-09	28.3	0.1	IS1 transposase
Phage_integrase	PF00589.22	SAGEDEP_115590	1.50E-16	51.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_115735	4.50E-11	33.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_115802	5.60E-10	30.2	0	Phage integrase family
DDE_Tnp_1_6	PF13751.6	SAGEDEP_038986	3.40E-26	82.9	0.9	Transposase DDE domain
DDE_Tnp_1	PF01609.21	SAGEDEP_038986	3.00E-08	24.5	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_038989	8.60E-16	49.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_039012	1.20E-12	38.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_039093	9.10E-27	84.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_039208	2.60E-26	83.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_039551	1.40E-18	58.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_039588	1.40E-17	55	1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_039605	2.00E-23	74	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_039698	1.90E-09	28.5	3.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_039930	6.10E-23	72.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_040064	1.40E-11	35.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_040066	2.60E-23	73.6	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_040162	1.10E-21	68.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_040301	4.50E-22	69.6	0	Phage integrase family
rve	PF00665.26	SAGEDEP_040451	1.50E-11	35.5	0	Integrase core domain
rve	PF00665.26	SAGEDEP_040461	1.80E-14	45	0	Integrase core domain
rve	PF00665.26	SAGEDEP_040469	4.20E-17	53.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_040476	4.00E-14	43.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_040481	4.20E-14	43.7	0	Integrase core domain
rve	PF00665.26	SAGEDEP_040495	3.20E-13	40.9	0	Integrase core domain
rve	PF00665.26	SAGEDEP_040508	1.80E-15	48.2	0.2	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_040526	3.80E-32	102.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_040587	8.50E-13	39.4	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_040620	4.40E-17	53.5	3.8	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_040638	1.10E-16	52.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_040652	2.70E-17	54	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_040686	9.00E-18	55.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_040697	2.60E-18	57.3	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_041055	6.80E-11	33.4	0.6	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_041055	6.50E-08	24	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_041076	2.80E-10	31.2	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_041080	1.50E-29	94	0.2	"Resolvase, N terminal domain"
DDE_Tnp_1_6	PF13751.6	SAGEDEP_041093	2.20E-30	96.4	2.1	Transposase DDE domain
DDE_Tnp_1	PF01609.21	SAGEDEP_041093	7.00E-11	33.1	2.7	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_041389	5.40E-36	114.9	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_041470	2.80E-18	57.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_041488	7.90E-27	85	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_041592	1.80E-22	71	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_041592	1.60E-14	45.2	0	Recombinase
DDE_Tnp_1_6	PF13751.6	SAGEDEP_041593	2.00E-15	48.1	0	Transposase DDE domain
DDE_Tnp_1	PF01609.21	SAGEDEP_041593	8.10E-14	42.7	0.2	Transposase DDE domain
DDE_Tnp_1	PF01609.21	SAGEDEP_041594	3.30E-17	53.7	0	Transposase DDE domain
DDE_Tnp_1_6	PF13751.6	SAGEDEP_041594	1.10E-15	49	0	Transposase DDE domain
DDE_Tnp_1	PF01609.21	SAGEDEP_041915	4.50E-17	53.3	0.1	Transposase DDE domain
rve	PF00665.26	SAGEDEP_042086	1.20E-14	45.5	0	Integrase core domain
rve	PF00665.26	SAGEDEP_042093	6.70E-14	43.1	0	Integrase core domain
rve	PF00665.26	SAGEDEP_042102	6.80E-15	46.3	0	Integrase core domain
rve	PF00665.26	SAGEDEP_042114	5.80E-17	53	0	Integrase core domain
rve	PF00665.26	SAGEDEP_042121	8.40E-16	49.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_042123	1.20E-15	48.7	0	Integrase core domain
rve	PF00665.26	SAGEDEP_042126	5.30E-12	37	0	Integrase core domain
rve	PF00665.26	SAGEDEP_042164	4.60E-17	53.3	0	Integrase core domain
rve	PF00665.26	SAGEDEP_042175	9.70E-14	42.6	0	Integrase core domain
rve	PF00665.26	SAGEDEP_042182	1.70E-15	48.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_042187	9.50E-16	49.1	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_042219	2.20E-28	90.1	0	Phage integrase family
rve	PF00665.26	SAGEDEP_042257	1.80E-19	61.1	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_042276	5.60E-12	36.7	0.2	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_042283	4.10E-35	112	0.3	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_042283	7.40E-21	65.5	2.2	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_042318	3.50E-24	76.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_042325	3.50E-25	79.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_042326	1.70E-17	54.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_042327	3.60E-10	30.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_042332	2.70E-24	76.8	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_042364	3.50E-34	109	0	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_042447	4.30E-31	98.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_042632	2.10E-15	47.8	0	Phage integrase family
rve	PF00665.26	SAGEDEP_043217	2.90E-19	60.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_043277	8.10E-27	84.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_043280	3.90E-11	34.2	0.2	Integrase core domain
DDE_Tnp_IS240	PF13610.6	SAGEDEP_043293	8.50E-16	49.4	0	DDE domain
rve	PF00665.26	SAGEDEP_043525	2.00E-13	41.6	0	Integrase core domain
rve	PF00665.26	SAGEDEP_043590	1.50E-11	35.5	0	Integrase core domain
rve	PF00665.26	SAGEDEP_043608	1.30E-14	45.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_043617	3.00E-11	34.5	0	Integrase core domain
rve	PF00665.26	SAGEDEP_043624	6.80E-15	46.3	0	Integrase core domain
rve	PF00665.26	SAGEDEP_043630	1.50E-15	48.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_043645	3.00E-17	53.9	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_043651	3.40E-25	79.7	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_043665	8.00E-41	130.5	2.9	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_043665	3.80E-08	24.7	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_043674	2.50E-14	44.4	0.3	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_043676	3.20E-09	27.7	0.8	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_043683	8.30E-28	88.2	0.1	Phage integrase family
rve	PF00665.26	SAGEDEP_043688	5.80E-20	62.7	0.4	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_043774	7.90E-14	42.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_043782	1.80E-21	67.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_043853	7.80E-23	72	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_043868	2.10E-26	83.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_043983	1.90E-10	31.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_044009	1.80E-15	48.1	0	Phage integrase family
DDE_Tnp_IS66	PF03050.14	SAGEDEP_044244	7.80E-12	36.1	0	Transposase IS66 family
DDE_Tnp_IS1595	PF12762.7	SAGEDEP_044410	9.10E-15	45.9	0.1	ISXO2-like transposase domain
DDE_Tnp_IS1595	PF12762.7	SAGEDEP_044411	7.90E-14	42.9	0.3	ISXO2-like transposase domain
DDE_Tnp_IS1595	PF12762.7	SAGEDEP_044432	1.80E-40	129.4	0	ISXO2-like transposase domain
Phage_integrase	PF00589.22	SAGEDEP_044639	1.30E-22	71.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_044644	2.50E-31	99.7	0	Phage integrase family
rve	PF00665.26	SAGEDEP_044888	9.00E-20	62	0.2	Integrase core domain
rve	PF00665.26	SAGEDEP_044897	1.20E-10	32.6	0	Integrase core domain
rve	PF00665.26	SAGEDEP_044957	8.10E-16	49.3	0	Integrase core domain
rve	PF00665.26	SAGEDEP_044961	4.70E-14	43.6	0	Integrase core domain
rve	PF00665.26	SAGEDEP_044968	3.10E-11	34.5	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_045014	1.70E-13	41.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_045023	5.60E-19	59.5	0	Phage integrase family
DDE_3	PF13358.6	SAGEDEP_045084	4.60E-20	62.8	0	DDE superfamily endonuclease
Phage_integrase	PF00589.22	SAGEDEP_045097	7.60E-19	59.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_045214	1.60E-20	64.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_045298	1.50E-16	51.6	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_045351	1.80E-11	35.3	0.5	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_045354	7.10E-36	114.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_045355	1.30E-23	74.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_045356	8.90E-25	78.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_080337	3.00E-26	83.1	0.1	Phage integrase family
rve	PF00665.26	SAGEDEP_080517	2.10E-13	41.5	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_080526	5.40E-13	40	0.1	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_080619	3.40E-16	50.6	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_080619	2.20E-13	41.5	0	"Resolvase, N terminal domain"
rve	PF00665.26	SAGEDEP_080736	2.00E-13	41.6	0	Integrase core domain
rve	PF00665.26	SAGEDEP_080753	4.10E-15	47	0	Integrase core domain
rve	PF00665.26	SAGEDEP_080808	5.80E-16	49.8	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_080830	2.30E-18	57.5	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_080874	3.90E-47	151	0.9	"Resolvase, N terminal domain"
rve	PF00665.26	SAGEDEP_080876	3.60E-25	79.5	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_080877	2.50E-28	89.9	0	Phage integrase family
DDE_Tnp_1	PF01609.21	SAGEDEP_080878	4.00E-11	33.9	0.1	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_080901	5.40E-10	30.2	0.1	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_080910	2.10E-49	158.3	0.1	"Resolvase, N terminal domain"
rve	PF00665.26	SAGEDEP_080959	2.20E-18	57.6	0.1	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_080961	9.30E-28	88.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_080962	6.30E-35	111.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_081220	2.40E-24	77	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_081237	2.40E-29	93.3	0.2	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_081237	2.10E-13	41.6	0	Recombinase
DDE_Tnp_1_assoc	PF13808.6	SAGEDEP_081358	8.80E-15	45.6	0.1	DDE_Tnp_1-associated
rve	PF00665.26	SAGEDEP_081445	6.90E-18	56	0	Integrase core domain
Resolvase	PF00239.21	SAGEDEP_081470	1.50E-34	110.1	0.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_081470	1.10E-22	71.5	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_081581	2.10E-11	34.8	0.3	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_081582	3.30E-16	50.5	1.5	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_081647	8.10E-28	88.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_081648	1.00E-24	78.2	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_081649	1.70E-31	100.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_081683	4.00E-18	56.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_081771	1.10E-32	104.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_081824	6.40E-10	30	0	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_081845	4.50E-15	47	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_081845	9.00E-11	33	4	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_081888	1.20E-13	42.1	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_081943	8.70E-36	114.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_081945	1.70E-35	113.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_081946	3.30E-25	79.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_081947	1.30E-26	84.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_081949	3.10E-28	89.6	0	Phage integrase family
rve	PF00665.26	SAGEDEP_081953	4.70E-22	69.4	0.1	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_082035	9.30E-11	32.7	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_082093	1.80E-17	54.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_082115	6.70E-24	75.5	0	Phage integrase family
DDE_Tnp_1_4	PF13701.6	SAGEDEP_082119	8.70E-101	328.1	0	Transposase DDE domain group 1
DDE_Tnp_1	PF01609.21	SAGEDEP_082119	1.10E-14	45.4	0	Transposase DDE domain
rve	PF00665.26	SAGEDEP_082134	4.70E-12	37.1	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_082135	6.50E-11	33.2	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_082201	3.40E-23	73.3	3.1	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_082218	5.20E-28	88.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_082265	5.50E-24	75.8	0	Phage integrase family
Y1_Tnp	PF01797.16	SAGEDEP_082543	1.20E-37	119.7	0.1	Transposase IS200 like
Recombinase	PF07508.13	SAGEDEP_101619	2.60E-22	70.2	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_101619	6.50E-21	65.9	0.1	"Resolvase, N terminal domain"
Y1_Tnp	PF01797.16	SAGEDEP_101625	4.40E-43	137.2	0.2	Transposase IS200 like
Phage_integrase	PF00589.22	SAGEDEP_101757	8.40E-11	32.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_101758	1.00E-17	55.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_101964	6.80E-12	36.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_102014	3.50E-19	60.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_102015	5.90E-22	69.2	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_102084	2.60E-20	64	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_102084	9.10E-10	29.9	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_102098	8.30E-23	72	0	Phage integrase family
DDE_3	PF13358.6	SAGEDEP_102310	1.60E-15	48	0.3	DDE superfamily endonuclease
Phage_integrase	PF00589.22	SAGEDEP_102470	1.60E-09	28.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_102510	1.00E-22	71.6	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_102581	4.70E-31	98.8	1.5	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_102581	6.30E-18	56.1	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_102583	2.10E-12	38.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_102584	4.20E-15	46.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_102628	3.00E-24	76.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_102685	7.10E-36	114.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_102686	9.20E-24	75.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_102687	1.00E-25	81.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_102735	5.60E-12	36.7	0.1	Phage integrase family
rve	PF00665.26	SAGEDEP_102753	8.40E-17	52.5	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_102889	1.00E-28	91.2	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_102892	5.40E-40	127.8	0.2	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_102892	1.30E-08	26.2	0	Recombinase
rve	PF00665.26	SAGEDEP_102970	4.70E-11	33.9	0	Integrase core domain
DDE_3	PF13358.6	SAGEDEP_102980	5.70E-17	52.8	0	DDE superfamily endonuclease
Phage_integrase	PF00589.22	SAGEDEP_103027	4.40E-10	30.5	0	Phage integrase family
rve	PF00665.26	SAGEDEP_103071	7.10E-13	39.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_103118	1.10E-24	77.9	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_103163	3.30E-19	60.2	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103170	1.10E-26	84.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103171	1.50E-16	51.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103179	3.80E-34	108.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103180	9.40E-20	62	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103181	4.10E-26	82.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103367	2.30E-20	64	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103603	3.00E-18	57.1	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103641	1.00E-20	65.1	0.6	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103683	4.80E-11	33.7	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103693	6.10E-38	121.2	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103733	2.30E-28	90	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103734	4.00E-11	33.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103802	3.20E-32	102.6	0.3	Phage integrase family
DDE_Tnp_1	PF01609.21	SAGEDEP_103859	3.80E-18	56.8	0	Transposase DDE domain
DDE_Tnp_1_3	PF13612.6	SAGEDEP_103859	1.90E-12	38.4	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_103869	1.10E-14	45.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103901	8.90E-27	84.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103935	5.90E-29	92	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103936	4.00E-18	56.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_103937	1.50E-34	110.2	0	Phage integrase family
rve	PF00665.26	SAGEDEP_104117	3.50E-11	34.3	0	Integrase core domain
Recombinase	PF07508.13	SAGEDEP_104120	2.00E-12	38.4	0	Recombinase
DDE_Tnp_IS66	PF03050.14	SAGEDEP_104122	1.80E-18	57.9	0	Transposase IS66 family
DDE_Tnp_IS66	PF03050.14	SAGEDEP_104123	2.70E-16	50.7	0.1	Transposase IS66 family
DDE_Tnp_1	PF01609.21	SAGEDEP_104149	1.00E-13	42.3	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_104188	6.70E-27	85.3	0	Phage integrase family
DDE_Tnp_1_assoc	PF13808.6	SAGEDEP_104190	1.70E-23	73.5	0	DDE_Tnp_1-associated
DDE_Tnp_1	PF01609.21	SAGEDEP_104190	2.90E-11	34.3	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_104323	5.30E-19	59.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_104542	1.60E-30	97	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_104612	1.40E-23	74.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_104619	4.60E-28	89.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_104620	2.30E-17	54.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_104621	1.30E-37	120.1	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_104635	6.20E-20	62.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_104723	2.70E-09	28	0	Phage integrase family
rve	PF00665.26	SAGEDEP_072547	1.60E-13	41.9	0	Integrase core domain
rve	PF00665.26	SAGEDEP_072572	1.90E-11	35.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_072585	8.40E-15	46	0	Integrase core domain
rve	PF00665.26	SAGEDEP_072594	1.60E-14	45.1	0	Integrase core domain
rve	PF00665.26	SAGEDEP_072598	1.90E-15	48.1	0	Integrase core domain
DDE_Tnp_IS66	PF03050.14	SAGEDEP_072613	4.30E-16	50.1	0.2	Transposase IS66 family
Phage_integrase	PF00589.22	SAGEDEP_072615	1.80E-13	41.6	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_072621	9.30E-38	120.6	0.8	"Resolvase, N terminal domain"
Resolvase	PF00239.21	SAGEDEP_072642	1.70E-29	93.7	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_072642	8.20E-08	23.6	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_072693	1.40E-32	103.7	1.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_072778	1.70E-32	103.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_072799	4.90E-09	27.1	0.4	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_072814	4.20E-18	56.6	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_072828	3.50E-31	99.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_072867	6.10E-26	82.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_072869	1.20E-29	94.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_072870	2.40E-21	67.2	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_072958	2.10E-08	25.3	0.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_072958	2.80E-07	21.9	0.1	Recombinase
rve	PF00665.26	SAGEDEP_073201	2.70E-15	47.6	0	Integrase core domain
rve	PF00665.26	SAGEDEP_073204	7.40E-16	49.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_073210	1.70E-15	48.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_073214	1.50E-16	51.6	0	Integrase core domain
rve	PF00665.26	SAGEDEP_073227	2.60E-14	44.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_073235	1.50E-14	45.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_073237	5.60E-14	43.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_073270	1.80E-14	45	0	Integrase core domain
Resolvase	PF00239.21	SAGEDEP_073287	6.60E-12	36.7	0.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_073287	1.80E-11	35.4	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_073302	1.20E-22	71.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_073337	1.60E-15	48.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_073544	1.20E-09	29.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_073562	1.80E-18	57.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_073568	1.20E-20	65	1.5	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_073599	3.00E-21	66.9	0	Phage integrase family
DDE_Tnp_1_6	PF13751.6	SAGEDEP_073609	6.40E-09	27.1	0.7	Transposase DDE domain
DDE_Tnp_1	PF01609.21	SAGEDEP_073621	1.20E-08	25.8	0	Transposase DDE domain
Y2_Tnp	PF04986.13	SAGEDEP_073652	2.10E-07	22.1	0	Putative transposase
Phage_integrase	PF00589.22	SAGEDEP_073733	3.50E-10	30.9	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_073734	5.00E-12	36.9	0.3	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_073735	3.70E-21	66.6	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_073875	8.80E-15	45.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_073995	3.30E-13	40.7	1.3	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_074064	1.30E-18	58.3	0.2	Phage integrase family
