Genome,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score
DNA_vOTU_7247,preVC_855,Clustered,VC_855_0,3,0.5823,0.61720276,4.384910156,0.3594,1
DNA_vOTU_7248,preVC_524,Clustered,VC_524_0,3,0.7628,0.72985431,3.798053317,0.5568,1
DNA_vOTU_7249,preVC_352,Clustered,VC_352_0,8,0.8267,0.99999174,1.811256147,0.8267,1
DNA_vOTU_725,,Singleton,,,,,,,
DNA_vOTU_7250,,Singleton,,,,,,,
DNA_vOTU_7251,,Outlier,,,,,,,
DNA_vOTU_7252,,Singleton,,,,,,,
DNA_vOTU_7253,,Outlier,,,,,,,
DNA_vOTU_7254,,Singleton,,,,,,,
DNA_vOTU_7255,,Singleton,,,,,,,
DNA_vOTU_7256,,Singleton,,,,,,,
DNA_vOTU_7257,,Singleton,,,,,,,
DNA_vOTU_7258,preVC_427,Clustered,VC_427_0,14,0.5265,1,2.1255437,0.5265,1
DNA_vOTU_7259,preVC_1760,Clustered,VC_1760_0,2,1,1,3.16227766,1,1
DNA_vOTU_726,preVC_403,Clustered,VC_403_0,3,0.5066,0.99659404,4.452966315,0.5048,1
DNA_vOTU_7260,,Outlier,,,,,,,
DNA_vOTU_7261,preVC_392,Clustered,VC_392_0,8,0.4619,1,2.312519543,0.4619,1
DNA_vOTU_7262,preVC_546,Clustered,VC_546_0,6,0.4041,1,6.604885203,0.4041,1
DNA_vOTU_7263,,Outlier,,,,,,,
DNA_vOTU_7264,,Outlier,,,,,,,
DNA_vOTU_7265,,Outlier,,,,,,,
DNA_vOTU_7266,,Singleton,,,,,,,
DNA_vOTU_7267,,Singleton,,,,,,,
DNA_vOTU_7268,,Outlier,,,,,,,
DNA_vOTU_7269,preVC_1567,Clustered,VC_1567_0,2,1,1,2,1,1
DNA_vOTU_727,,Singleton,,,,,,,
DNA_vOTU_7270,preVC_545,Clustered,VC_545_0,8,0.5709,1,4.05136363,0.5709,1
DNA_vOTU_7271,,Overlap (VC_559/VC_560),,,,,,,
DNA_vOTU_7272,preVC_348,Clustered,VC_348_0,20,0.5417,1,4.288171573,0.5417,0.9947
DNA_vOTU_7273,preVC_310,Clustered,VC_310_0,9,0.7418,0.99998389,3.634438944,0.7418,1
DNA_vOTU_7274,preVC_576,Clustered,VC_576_0,6,0.7149,0.99855976,4.47750794,0.7139,1
DNA_vOTU_7275,,Singleton,,,,,,,
DNA_vOTU_7276,preVC_424,Clustered,VC_424_0,5,0.0822,0.99999733,2.534899645,0.0822,1
DNA_vOTU_7277,preVC_1084,Clustered,VC_1084_0,3,0.6539,0.9859071,4.082482905,0.6447,1
DNA_vOTU_7278,,Singleton,,,,,,,
DNA_vOTU_7279,,Outlier,,,,,,,
DNA_vOTU_728,,Singleton,,,,,,,
DNA_vOTU_7280,,Outlier,,,,,,,
DNA_vOTU_7281,,Outlier,,,,,,,
DNA_vOTU_7282,,Singleton,,,,,,,
DNA_vOTU_7283,preVC_465,Clustered,VC_465_0,15,0.6512,1,4.590764405,0.6512,1
DNA_vOTU_7284,preVC_1427,Clustered,VC_1427_0,3,0.8668,0.81445332,1.821367205,0.706,1
DNA_vOTU_7285,preVC_1761,Clustered,VC_1761_0,2,1,1,1.414213562,1,1
DNA_vOTU_7286,preVC_902,Clustered,VC_902_0,4,1,1,0.971404521,1,1
DNA_vOTU_7287,preVC_1048,Clustered,VC_1048_0,3,0.5773,0.81162044,3.144659467,0.4685,1
DNA_vOTU_7288,,Singleton,,,,,,,
DNA_vOTU_7289,preVC_1218,Clustered,VC_1218_0,2,0.6527,0.87921671,4.242640687,0.5739,1
DNA_vOTU_729,,Singleton,,,,,,,
DNA_vOTU_7290,,Singleton,,,,,,,
DNA_vOTU_7291,,Outlier,,,,,,,
DNA_vOTU_7292,preVC_1128,Clustered,VC_1128_0,6,0.5044,0.99994859,4.79687548,0.5044,1
DNA_vOTU_7293,,Outlier,,,,,,,
DNA_vOTU_7294,preVC_753,Clustered/Singleton,VC_753_0,1,0,1,0,0,1
DNA_vOTU_7295,preVC_848,Clustered,VC_848_0,2,0.6402,0.5,4,0.3201,1
DNA_vOTU_7296,preVC_1407,Clustered,VC_1407_0,3,1,1,4.056316794,1,1
DNA_vOTU_7297,preVC_1706,Clustered,VC_1706_0,2,1,1,3.31662479,1,1
DNA_vOTU_7298,,Singleton,,,,,,,
DNA_vOTU_7299,,Outlier,,,,,,,
DNA_vOTU_73,,Outlier,,,,,,,
DNA_vOTU_730,preVC_473,Clustered,VC_473_0,8,0.9104,0.91634216,3.740683207,0.8343,1
DNA_vOTU_7300,,Outlier,,,,,,,
DNA_vOTU_7301,preVC_1205,Clustered,VC_1205_0,3,0.8067,0.92554266,3.356550964,0.7466,1
DNA_vOTU_7302,preVC_1732,Clustered,VC_1732_0,2,0.8323,0.5,1,0.4161,1
DNA_vOTU_7303,,Outlier,,,,,,,
DNA_vOTU_7304,,Singleton,,,,,,,
DNA_vOTU_7305,,Outlier,,,,,,,
DNA_vOTU_7306,,Outlier,,,,,,,
DNA_vOTU_7307,,Singleton,,,,,,,
DNA_vOTU_7308,,Singleton,,,,,,,
DNA_vOTU_7309,,Outlier,,,,,,,
DNA_vOTU_731,,Singleton,,,,,,,
DNA_vOTU_7310,preVC_1757,Clustered,VC_1757_0,2,1,1,2.236067977,1,1
DNA_vOTU_7311,,Singleton,,,,,,,
DNA_vOTU_7312,,Singleton,,,,,,,
DNA_vOTU_7313,preVC_548,Clustered,VC_548_0,13,0.7577,0.976749,1.762578548,0.7401,1
DNA_vOTU_7314,preVC_1670,Clustered,VC_1670_0,3,0.7957,0.5,2.157378652,0.3978,1
DNA_vOTU_7315,,Singleton,,,,,,,
DNA_vOTU_7316,,Singleton,,,,,,,
DNA_vOTU_7317,,Outlier,,,,,,,
DNA_vOTU_7318,,Singleton,,,,,,,
DNA_vOTU_7319,,Singleton,,,,,,,
DNA_vOTU_732,preVC_480,Clustered,VC_480_0,2,1,1,1.732050808,1,1
DNA_vOTU_7320,,Singleton,,,,,,,
DNA_vOTU_7321,,Outlier,,,,,,,
DNA_vOTU_7322,,Overlap (VC_1139/VC_1729),,,,,,,
DNA_vOTU_7323,preVC_1332,Clustered,VC_1332_0,3,1,1,3.826178207,1,1
DNA_vOTU_7324,,Outlier,,,,,,,
DNA_vOTU_7325,,Singleton,,,,,,,
DNA_vOTU_7326,preVC_1627,Clustered,VC_1627_0,2,0.3852,0.92263554,3,0.3554,1
DNA_vOTU_7327,,Singleton,,,,,,,
DNA_vOTU_7328,,Outlier,,,,,,,
DNA_vOTU_7329,preVC_472,Clustered,VC_472_0,3,0.1614,0.99767734,3.309341455,0.161,1
DNA_vOTU_733,,Overlap (VC_1139/VC_1729),,,,,,,
DNA_vOTU_7330,preVC_1130,Clustered,VC_1130_0,3,0.4269,0.99630615,3.23380349,0.4253,1
DNA_vOTU_7331,,Singleton,,,,,,,
DNA_vOTU_7332,preVC_1224,Clustered,VC_1224_0,2,0.7937,0.81445332,3.605551275,0.6464,1
DNA_vOTU_7333,preVC_310,Clustered,VC_310_0,9,0.7418,0.99998389,3.634438944,0.7418,1
DNA_vOTU_7334,,Singleton,,,,,,,
DNA_vOTU_7335,preVC_1078,Clustered,VC_1078_0,3,0.7495,0.99054823,4.049219896,0.7424,1
DNA_vOTU_7336,,Outlier,,,,,,,
DNA_vOTU_7337,,Singleton,,,,,,,
DNA_vOTU_7338,,Singleton,,,,,,,
DNA_vOTU_7339,preVC_423,Clustered,VC_423_0,31,0.601,1,4.144600506,0.601,0.9957
DNA_vOTU_734,,Singleton,,,,,,,
DNA_vOTU_7340,,Singleton,,,,,,,
DNA_vOTU_7341,,Outlier,,,,,,,
DNA_vOTU_7342,,Outlier,,,,,,,
DNA_vOTU_7343,,Singleton,,,,,,,
DNA_vOTU_7344,preVC_1762,Clustered,VC_1762_0,2,0.9146,0.72985431,2,0.6675,1
DNA_vOTU_7345,preVC_433,Clustered,VC_433_0,53,0.6672,1,4.409454447,0.6672,0.9956
DNA_vOTU_7346,,Overlap (VC_753/VC_1216),,,,,,,
DNA_vOTU_7347,preVC_1639,Clustered,VC_1639_0,2,1,1,2,1,1
DNA_vOTU_7348,,Outlier,,,,,,,
DNA_vOTU_7349,,Singleton,,,,,,,
DNA_vOTU_735,preVC_828,Clustered,VC_828_0,3,1,1,2.688165034,1,1
DNA_vOTU_7350,,Overlap (VC_789/VC_1213),,,,,,,
DNA_vOTU_7351,preVC_643,Clustered,VC_643_0,22,0.7171,1,3.596476314,0.7171,1
DNA_vOTU_7352,,Overlap (VC_374/VC_403),,,,,,,
DNA_vOTU_7353,preVC_1170,Clustered,VC_1170_0,4,0.8302,0.98172683,6.186180489,0.815,1
DNA_vOTU_7354,,Outlier,,,,,,,
DNA_vOTU_7355,preVC_957,Clustered,VC_957_0,2,0.4528,0.91813282,6.782329983,0.4158,1
DNA_vOTU_7356,preVC_781,Clustered,VC_781_0,2,0.1351,0.9408528,3,0.1271,1
DNA_vOTU_7357,,Outlier,,,,,,,
DNA_vOTU_7358,,Singleton,,,,,,,
DNA_vOTU_7359,,Singleton,,,,,,,
DNA_vOTU_736,,Outlier,,,,,,,
DNA_vOTU_7360,preVC_663,Clustered,VC_663_0,3,1,1,1.626105059,1,1
DNA_vOTU_7361,preVC_467,Clustered,VC_467_0,2,0.3105,0.94071428,3.16227766,0.2921,1
DNA_vOTU_7362,,Outlier,,,,,,,
DNA_vOTU_7363,,Singleton,,,,,,,
DNA_vOTU_7364,,Singleton,,,,,,,
DNA_vOTU_7365,preVC_1764,Clustered,VC_1764_0,2,1,1,2.236067977,1,1
DNA_vOTU_7366,preVC_841,Clustered,VC_841_0,2,0.0514,0.81720308,2,0.042,1
DNA_vOTU_7367,,Singleton,,,,,,,
DNA_vOTU_7368,,Outlier,,,,,,,
DNA_vOTU_7369,,Outlier,,,,,,,
DNA_vOTU_737,,Singleton,,,,,,,
DNA_vOTU_7370,preVC_1627,Clustered,VC_1627_0,2,0.3852,0.92263554,3,0.3554,1
DNA_vOTU_7371,,Singleton,,,,,,,
DNA_vOTU_7372,preVC_1263,Clustered,VC_1263_0,4,0.8811,0.99027448,4.124229227,0.8725,1
DNA_vOTU_7373,,Singleton,,,,,,,
DNA_vOTU_7374,,Singleton,,,,,,,
DNA_vOTU_7375,preVC_607,Clustered,VC_607_0,10,0.7595,0.99441593,2.863777358,0.7553,1
DNA_vOTU_7376,,Singleton,,,,,,,
DNA_vOTU_7377,,Singleton,,,,,,,
DNA_vOTU_7378,preVC_1530,Clustered,VC_1530_0,2,0.0338,0.52098287,6.244997998,0.0176,1
DNA_vOTU_7379,preVC_1693,Clustered,VC_1693_0,2,0.9086,0.5,1.414213562,0.4543,1
DNA_vOTU_738,,Singleton,,,,,,,
DNA_vOTU_7380,preVC_430,Clustered,VC_430_0,24,0.8333,1,1.667150638,0.8333,1
DNA_vOTU_7381,,Singleton,,,,,,,
DNA_vOTU_7382,,Overlap (VC_401/VC_435),,,,,,,
DNA_vOTU_7383,,Singleton,,,,,,,
DNA_vOTU_7384,,Singleton,,,,,,,
DNA_vOTU_7385,preVC_643,Clustered,VC_643_0,22,0.7171,1,3.596476314,0.7171,1
DNA_vOTU_7386,,Overlap (VC_400/VC_401),,,,,,,
DNA_vOTU_7387,,Singleton,,,,,,,
DNA_vOTU_7388,preVC_1765,Clustered,VC_1765_0,2,1,1,2.828427125,1,1
DNA_vOTU_7389,,Singleton,,,,,,,
DNA_vOTU_739,preVC_705,Clustered,VC_705_0,3,0.9003,0.97408504,3.503504774,0.8769,1
DNA_vOTU_7390,preVC_1343,Clustered,VC_1343_0,3,0.448,0.96587626,4.130768282,0.4327,1
DNA_vOTU_7391,,Singleton,,,,,,,
DNA_vOTU_7392,,Singleton,,,,,,,
DNA_vOTU_7393,,Outlier,,,,,,,
DNA_vOTU_7394,,Outlier,,,,,,,
DNA_vOTU_7395,,Outlier,,,,,,,
DNA_vOTU_7396,,Singleton,,,,,,,
DNA_vOTU_7397,,Singleton,,,,,,,
DNA_vOTU_7398,,Outlier,,,,,,,
DNA_vOTU_7399,,Singleton,,,,,,,
DNA_vOTU_74,preVC_1313,Clustered,VC_1313_0,2,1,1,2.645751311,1,1
DNA_vOTU_740,preVC_438,Clustered,VC_438_0,7,0.8826,0.99993893,1.738742012,0.8826,1
DNA_vOTU_7400,,Singleton,,,,,,,
DNA_vOTU_7401,preVC_429,Clustered,VC_429_0,20,0.8053,0.99845445,2.161010587,0.8041,1
DNA_vOTU_7402,preVC_1184,Clustered,VC_1184_0,2,0.4003,0.85557782,2.449489743,0.3425,1
DNA_vOTU_7403,preVC_990,Clustered,VC_990_0,3,0.9634,0.92554266,2.39384685,0.8917,1
DNA_vOTU_7404,,Singleton,,,,,,,
DNA_vOTU_7405,preVC_1136,Clustered,VC_1136_0,2,0.2676,0.72985431,3.741657387,0.1953,1
DNA_vOTU_7406,preVC_977,Clustered,VC_977_0,3,1,1,4.307432683,1,1
DNA_vOTU_7407,preVC_579,Clustered,VC_579_0,5,0.3952,0.99918682,3.421824624,0.3948,1
DNA_vOTU_7408,preVC_1667,Clustered,VC_1667_0,2,0.7762,0.5,3.31662479,0.3881,1
DNA_vOTU_7409,preVC_1616,Clustered,VC_1616_0,2,0.1567,0.81445332,4.242640687,0.1276,1
DNA_vOTU_741,preVC_1388,Clustered,VC_1388_0,2,1,1,2.449489743,1,1
DNA_vOTU_7410,,Singleton,,,,,,,
DNA_vOTU_7411,,Singleton,,,,,,,
DNA_vOTU_7412,preVC_703,Clustered,VC_703_0,9,0.6427,1,3.696475094,0.6427,1
DNA_vOTU_7413,,Singleton,,,,,,,
DNA_vOTU_7414,preVC_1688,Clustered,VC_1688_0,2,1,1,2,1,1
DNA_vOTU_7415,,Outlier,,,,,,,
DNA_vOTU_7416,,Singleton,,,,,,,
DNA_vOTU_7417,,Singleton,,,,,,,
DNA_vOTU_7418,,Singleton,,,,,,,
DNA_vOTU_7419,,Outlier,,,,,,,
DNA_vOTU_742,,Singleton,,,,,,,
DNA_vOTU_7420,,Singleton,,,,,,,
DNA_vOTU_7421,,Singleton,,,,,,,
DNA_vOTU_7422,preVC_442,Clustered,VC_442_0,2,0.7769,0.72985431,2.236067977,0.567,1
DNA_vOTU_7423,preVC_1362,Clustered,VC_1362_0,2,0.3525,0.72985431,2.236067977,0.2573,1
DNA_vOTU_7424,preVC_1470,Clustered,VC_1470_0,3,1,1,2.654125367,1,1
DNA_vOTU_7425,,Overlap (VC_457/VC_676/VC_721),,,,,,,
DNA_vOTU_7426,,Singleton,,,,,,,
DNA_vOTU_7427,,Singleton,,,,,,,
DNA_vOTU_7428,preVC_1114,Clustered,VC_1114_0,4,0.9011,0.8783275,2.534735292,0.7915,1
DNA_vOTU_7429,,Singleton,,,,,,,
DNA_vOTU_743,preVC_898,Clustered,VC_898_0,4,0.9363,0.99346908,3.138749896,0.9302,1
DNA_vOTU_7430,,Singleton,,,,,,,
DNA_vOTU_7431,,Singleton,,,,,,,
DNA_vOTU_7432,preVC_395,Clustered,VC_395_0,3,0.5663,0.96587626,2.698413685,0.547,1
DNA_vOTU_7433,,Outlier,,,,,,,
DNA_vOTU_7434,,Singleton,,,,,,,
DNA_vOTU_7435,preVC_1238,Clustered,VC_1238_0,2,0.7073,0.9262493,4.242640687,0.6552,1
DNA_vOTU_7436,preVC_643,Clustered,VC_643_0,22,0.7171,1,3.596476314,0.7171,1
DNA_vOTU_7437,preVC_433,Clustered,VC_433_0,53,0.6672,1,4.409454447,0.6672,0.9956
DNA_vOTU_7438,preVC_1663,Clustered,VC_1663_0,4,0.7737,0.87642001,2.554222736,0.6781,1
DNA_vOTU_7439,preVC_348,Clustered,VC_348_0,20,0.5417,1,4.288171573,0.5417,0.9947
DNA_vOTU_744,,Overlap (VC_617/VC_860),,,,,,,
DNA_vOTU_7440,preVC_1555,Clustered,VC_1555_0,5,0.6123,0.99635965,4.91070167,0.6101,1
DNA_vOTU_7441,preVC_643,Clustered,VC_643_0,22,0.7171,1,3.596476314,0.7171,1
DNA_vOTU_7442,,Singleton,,,,,,,
DNA_vOTU_7443,preVC_442,Clustered,VC_442_0,2,0.7769,0.72985431,2.236067977,0.567,1
DNA_vOTU_7444,,Outlier,,,,,,,
DNA_vOTU_7445,,Singleton,,,,,,,
DNA_vOTU_7446,,Outlier,,,,,,,
DNA_vOTU_7447,preVC_1617,Clustered,VC_1617_0,2,1,1,2.645751311,1,1
DNA_vOTU_7448,,Singleton,,,,,,,
DNA_vOTU_7449,,Singleton,,,,,,,
DNA_vOTU_745,preVC_895,Clustered,VC_895_0,4,0.5287,0.82410762,2.828583096,0.4357,1
DNA_vOTU_7450,,Singleton,,,,,,,
DNA_vOTU_7451,preVC_506,Clustered,VC_506_0,2,0.2491,0.93846104,3.16227766,0.2338,1
DNA_vOTU_7452,,Outlier,,,,,,,
DNA_vOTU_7453,,Outlier,,,,,,,
DNA_vOTU_7454,,Singleton,,,,,,,
DNA_vOTU_7455,preVC_433,Clustered,VC_433_0,53,0.6672,1,4.409454447,0.6672,0.9956
DNA_vOTU_7456,preVC_519,Clustered,VC_519_0,6,0.487,0.99993545,4.190216777,0.487,1
DNA_vOTU_7457,preVC_1476,Clustered,VC_1476_0,2,0.6931,0.72985431,1,0.5059,1
DNA_vOTU_7458,preVC_972,Clustered,VC_972_0,2,0.5295,0.89435023,3.16227766,0.4735,1
DNA_vOTU_7459,,Outlier,,,,,,,
DNA_vOTU_746,,Singleton,,,,,,,
DNA_vOTU_7460,preVC_999,Clustered,VC_999_0,3,0.2498,0.96069563,6.229895601,0.24,1
DNA_vOTU_7461,,Singleton,,,,,,,
DNA_vOTU_7462,,Singleton,,,,,,,
DNA_vOTU_7463,preVC_1767,Clustered,VC_1767_0,2,1,1,2,1,1
DNA_vOTU_7464,,Singleton,,,,,,,
DNA_vOTU_7465,,Overlap (VC_1118/VC_1119),,,,,,,
DNA_vOTU_7466,preVC_1768,Clustered,VC_1768_0,2,1,1,2.236067977,1,1
DNA_vOTU_7467,preVC_543,Clustered,VC_543_0,2,0.0855,0.92576325,1.732050808,0.0792,1
DNA_vOTU_7468,,Singleton,,,,,,,
DNA_vOTU_7469,,Outlier,,,,,,,
DNA_vOTU_747,,Singleton,,,,,,,
DNA_vOTU_7470,,Singleton,,,,,,,
DNA_vOTU_7471,preVC_486,Clustered,VC_486_0,5,0.747,0.99792304,4.194310218,0.7454,1
DNA_vOTU_7472,preVC_1546,Clustered,VC_1546_0,3,0.7939,0.5,1.989372928,0.3969,1
DNA_vOTU_7473,preVC_1186,Clustered,VC_1186_0,2,0.6423,0.85557782,2.449489743,0.5496,1
DNA_vOTU_7474,preVC_894,Clustered,VC_894_0,2,1,1,1.414213562,1,1
DNA_vOTU_7475,,Outlier,,,,,,,
DNA_vOTU_7476,preVC_1257,Clustered,VC_1257_0,3,0.366,0.96979186,7.85796977,0.3549,0.6667
DNA_vOTU_7477,,Overlap (VC_425/VC_592),,,,,,,
DNA_vOTU_7478,preVC_767,Clustered,VC_767_0,21,0.7209,1,6.418438726,0.7209,0.9238
DNA_vOTU_7479,,Singleton,,,,,,,
DNA_vOTU_748,preVC_1110,Clustered,VC_1110_0,8,0.963,0.99823354,2.861263581,0.9613,1
DNA_vOTU_7480,,Outlier,,,,,,,
DNA_vOTU_7481,preVC_896,Clustered,VC_896_0,2,0.2514,0.5,2.828427125,0.1257,1
DNA_vOTU_7482,,Singleton,,,,,,,
DNA_vOTU_7483,,Outlier,,,,,,,
DNA_vOTU_7484,preVC_1641,Clustered,VC_1641_0,2,1,1,2,1,1
DNA_vOTU_7485,,Singleton,,,,,,,
DNA_vOTU_7486,preVC_1372,Clustered,VC_1372_0,2,1,1,1.732050808,1,1
DNA_vOTU_7487,preVC_1325,Clustered,VC_1325_0,2,0.9233,0.5,2.645751311,0.4616,1
DNA_vOTU_7488,,Outlier,,,,,,,
DNA_vOTU_7489,preVC_633,Clustered,VC_633_0,7,0.3744,0.50873022,2.66071144,0.1905,1
DNA_vOTU_749,preVC_278,Clustered,VC_278_0,14,0.7571,1,5.093755833,0.7571,0.978
DNA_vOTU_7490,preVC_1158,Clustered,VC_1158_0,3,0.9676,0.81445332,3.554611151,0.7881,1
DNA_vOTU_7491,,Singleton,,,,,,,
DNA_vOTU_7492,preVC_355,Clustered,VC_355_0,65,0.8785,0.59171551,2.046027503,0.5198,1
DNA_vOTU_7493,,Singleton,,,,,,,
DNA_vOTU_7494,,Outlier,,,,,,,
DNA_vOTU_7495,preVC_1755,Clustered,VC_1755_0,2,0.4673,0.72985431,2.828427125,0.341,1
DNA_vOTU_7496,,Overlap (VC_1181/VC_1398),,,,,,,
DNA_vOTU_7497,preVC_625,Clustered,VC_625_0,4,0.3278,0.9975417,4.151031713,0.327,1
DNA_vOTU_7498,,Outlier,,,,,,,
DNA_vOTU_7499,preVC_268,Clustered/Singleton,VC_268_1,1,0,1,0,0,1
DNA_vOTU_75,,Outlier,,,,,,,
DNA_vOTU_750,,Overlap (VC_267/VC_1293),,,,,,,
DNA_vOTU_7500,preVC_772,Clustered,VC_772_0,3,0.5168,0.99363432,3.90865182,0.5135,1
DNA_vOTU_7501,preVC_1661,Clustered,VC_1661_0,4,1,1,1.276142375,1,1
DNA_vOTU_7502,preVC_1769,Clustered,VC_1769_0,2,1,1,0,1,1
DNA_vOTU_7503,,Singleton,,,,,,,
DNA_vOTU_7504,preVC_636,Clustered,VC_636_0,2,1,1,1,1,1
DNA_vOTU_7505,,Singleton,,,,,,,
DNA_vOTU_7506,,Singleton,,,,,,,
DNA_vOTU_7507,,Singleton,,,,,,,
DNA_vOTU_7508,preVC_1527,Clustered,VC_1527_0,2,0.7315,0.72985431,2,0.5339,1
DNA_vOTU_7509,,Outlier,,,,,,,
DNA_vOTU_751,,Singleton,,,,,,,
DNA_vOTU_7510,preVC_1466,Clustered,VC_1466_0,2,0.1309,0.5,3.741657387,0.0655,1
DNA_vOTU_7511,,Singleton,,,,,,,
DNA_vOTU_7512,,Outlier,,,,,,,
DNA_vOTU_7513,,Singleton,,,,,,,
DNA_vOTU_7514,,Outlier,,,,,,,
DNA_vOTU_7515,preVC_1125,Clustered,VC_1125_0,4,1,1,3.510027849,1,1
DNA_vOTU_7516,,Singleton,,,,,,,
DNA_vOTU_7517,,Singleton,,,,,,,
DNA_vOTU_7518,,Outlier,,,,,,,
DNA_vOTU_7519,,Outlier,,,,,,,
DNA_vOTU_752,,Singleton,,,,,,,
DNA_vOTU_7520,,Outlier,,,,,,,
DNA_vOTU_7521,preVC_774,Clustered,VC_774_0,2,0.6354,0.5,2.236067977,0.3177,1
DNA_vOTU_7522,,Singleton,,,,,,,
DNA_vOTU_7523,preVC_539,Clustered,VC_539_0,22,0.4305,1,5.510692959,0.4305,0.9654
DNA_vOTU_7524,,Singleton,,,,,,,
DNA_vOTU_7525,preVC_486,Clustered,VC_486_0,5,0.747,0.99792304,4.194310218,0.7454,1
DNA_vOTU_7526,,Outlier,,,,,,,
DNA_vOTU_7527,,Outlier,,,,,,,
DNA_vOTU_7528,preVC_1770,Clustered,VC_1770_0,2,1,1,0,1,1
DNA_vOTU_7529,,Singleton,,,,,,,
DNA_vOTU_753,preVC_854,Clustered,VC_854_0,2,0.7944,0.5,3.741657387,0.3972,1
DNA_vOTU_7530,preVC_1190,Clustered/Singleton,VC_1190_0,1,0,1,0,0,1
DNA_vOTU_7531,preVC_1354,Clustered,VC_1354_0,3,0.9272,0.97408504,2.293939763,0.9032,1
DNA_vOTU_7532,,Singleton,,,,,,,
DNA_vOTU_7533,,Singleton,,,,,,,
DNA_vOTU_7534,,Outlier,,,,,,,
DNA_vOTU_7535,,Outlier,,,,,,,
DNA_vOTU_7536,,Singleton,,,,,,,
DNA_vOTU_7537,,Singleton,,,,,,,
DNA_vOTU_7538,preVC_904,Clustered,VC_904_0,8,0.7259,0.96769085,2.61046873,0.7025,1
DNA_vOTU_7539,preVC_1674,Clustered,VC_1674_0,2,0.8262,0.72985431,3.605551275,0.603,1
DNA_vOTU_754,,Overlap (VC_1181/VC_1298/VC_1398),,,,,,,
DNA_vOTU_7540,preVC_375,Clustered,VC_375_0,3,0.1648,0.99229614,5.245674428,0.1635,1
DNA_vOTU_7541,,Singleton,,,,,,,
DNA_vOTU_7542,,Outlier,,,,,,,
DNA_vOTU_7543,preVC_1602,Clustered,VC_1602_0,2,1,1,1,1,1
DNA_vOTU_7544,,Singleton,,,,,,,
DNA_vOTU_7545,,Singleton,,,,,,,
DNA_vOTU_7546,,Singleton,,,,,,,
DNA_vOTU_7547,,Singleton,,,,,,,
DNA_vOTU_7548,preVC_863,Clustered,VC_863_0,2,0.6396,0.87921671,3,0.5623,1
DNA_vOTU_7549,,Singleton,,,,,,,
DNA_vOTU_755,preVC_1121,Clustered,VC_1121_0,2,0.8971,0.82711071,2.828427125,0.742,1
DNA_vOTU_7550,preVC_711,Clustered,VC_711_0,8,0.9364,0.5550515,0,0.5198,1
DNA_vOTU_7551,preVC_1353,Clustered,VC_1353_0,3,0.8974,0.9595722,3.036617642,0.8611,1
DNA_vOTU_7552,,Singleton,,,,,,,
DNA_vOTU_7553,,Outlier,,,,,,,
DNA_vOTU_7554,,Singleton,,,,,,,
DNA_vOTU_7555,preVC_552,Clustered,VC_552_0,4,0.6867,0.99083594,2.328341216,0.6804,1
DNA_vOTU_7556,preVC_1771,Clustered,VC_1771_0,2,1,1,1,1,1
DNA_vOTU_7557,,Singleton,,,,,,,
DNA_vOTU_7558,preVC_1675,Clustered,VC_1675_0,3,1,1,1.382088123,1,1
DNA_vOTU_7559,preVC_1435,Clustered,VC_1435_0,2,1,1,2,1,1
DNA_vOTU_756,preVC_1003,Clustered,VC_1003_0,7,0.8019,0.99999999,2.79937867,0.8019,1
DNA_vOTU_7560,,Outlier,,,,,,,
DNA_vOTU_7561,preVC_1049,Clustered,VC_1049_0,9,0.9041,0.95740029,1.187758232,0.8655,1
DNA_vOTU_7562,,Outlier,,,,,,,
DNA_vOTU_7563,preVC_776,Clustered,VC_776_0,3,0.5605,0.99569774,2.513359926,0.5581,1
DNA_vOTU_7564,preVC_1772,Clustered,VC_1772_0,2,1,1,2.449489743,1,1
DNA_vOTU_7565,,Singleton,,,,,,,
DNA_vOTU_7566,preVC_1773,Clustered,VC_1773_0,2,1,1,0,1,1
DNA_vOTU_7567,preVC_742,Clustered,VC_742_0,2,0.1992,0.93855773,1.732050808,0.187,1
DNA_vOTU_7568,preVC_1057,Clustered,VC_1057_0,3,0.7907,0.67104749,3.345087002,0.5306,1
DNA_vOTU_7569,,Outlier,,,,,,,
DNA_vOTU_757,preVC_779,Clustered,VC_779_0,2,0.9539,0.72985431,3.605551275,0.6962,1
DNA_vOTU_7570,,Singleton,,,,,,,
DNA_vOTU_7571,preVC_430,Clustered,VC_430_0,24,0.8333,1,1.667150638,0.8333,1
DNA_vOTU_7572,preVC_1434,Clustered,VC_1434_0,2,0.5627,0.87921671,2.828427125,0.4947,1
DNA_vOTU_7573,preVC_952,Clustered,VC_952_0,2,1,1,1.732050808,1,1
DNA_vOTU_7574,,Singleton,,,,,,,
DNA_vOTU_7575,,Singleton,,,,,,,
DNA_vOTU_7576,,Singleton,,,,,,,
DNA_vOTU_7577,,Singleton,,,,,,,
DNA_vOTU_7578,,Singleton,,,,,,,
DNA_vOTU_7579,,Singleton,,,,,,,
DNA_vOTU_758,,Outlier,,,,,,,
DNA_vOTU_7580,,Singleton,,,,,,,
DNA_vOTU_7581,,Outlier,,,,,,,
DNA_vOTU_7582,,Singleton,,,,,,,
DNA_vOTU_7583,preVC_1355,Clustered,VC_1355_0,2,0.3936,0.72985431,3.605551275,0.2873,1
