replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
Sage2_L_100_16_scaffold_8395	Sage2_L_100_16_scaffold_8395_8	csm3gr7_III-A_1	771697	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-A	Sage2_L_100_16_scaffold_8395_CAS_Class1-Subtype-III-A_21	1	1	0.667	6.000	1	csm3gr7_III-A_1	mandatory	271	1.9e-74	256.200	0.972	0.793	12	226		Sage2_L_100_16_scaffold_8395_CAS_Class1-Type-III_22,Sage2_L_100_16_scaffold_8395_CAS_Cluster_23
Sage2_L_100_16_scaffold_8395	Sage2_L_100_16_scaffold_8395_9	csm4gr5_III-A_1	771698	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-A	Sage2_L_100_16_scaffold_8395_CAS_Class1-Subtype-III-A_21	1	1	0.667	6.000	1	csm4gr5_III-A_3	mandatory	323	1.6e-42	152.000	0.983	0.963	9	319		Sage2_L_100_16_scaffold_8395_CAS_Class1-Type-III_22,Sage2_L_100_16_scaffold_8395_CAS_Cluster_23
Sage2_L_100_16_scaffold_8395	Sage2_L_100_16_scaffold_8395_10	csm5gr7_III-A_2	771699	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-A	Sage2_L_100_16_scaffold_8395_CAS_Class1-Subtype-III-A_21	1	1	0.667	6.000	1	csm5gr7_III-A_2	mandatory	395	3.3e-25	95.300	0.945	0.929	3	369		Sage2_L_100_16_scaffold_8395_CAS_Class1-Type-III_22,Sage2_L_100_16_scaffold_8395_CAS_Cluster_23
Sage2_L_115_16_scaffold_626	Sage2_L_115_16_scaffold_626_1	cas1_I_II_III_IV_V_VI_5	632369	defense-finder-models/Cas/Cas/CAS_Class2-Subtype-II-C	Sage2_L_115_16_scaffold_626_CAS_Class2-Subtype-II-C_105	1	1	0.667	2.000	1	cas1_I_II_III_IV_V_VI_5	accessory	260	3.7e-75	258.800	0.865	0.904	3	237		Sage2_L_115_16_scaffold_626_CAS_Class2-Type-II_106,Sage2_L_115_16_scaffold_626_CAS_Cluster_107
Sage2_L_115_16_scaffold_626	Sage2_L_115_16_scaffold_626_2	cas9_II-A_II-B_II-C_3	632370	defense-finder-models/Cas/Cas/CAS_Class2-Subtype-II-C	Sage2_L_115_16_scaffold_626_CAS_Class2-Subtype-II-C_105	1	1	0.667	2.000	1	cas9_II-A_II-B_II-C_1	mandatory	1121	5.1e-204	686.600	0.987	0.984	11	1113		Sage2_L_115_16_scaffold_626_CAS_Class2-Type-II_106,Sage2_L_115_16_scaffold_626_CAS_Cluster_107
Sage2_L_115_16_scaffold_62768	Sage2_L_115_16_scaffold_62768_1	cas8u2_I-G_1	1121890	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_115_16_scaffold_62768_CAS_Class1-Subtype-I-G_88	1	1	0.429	3.000	1	cas8u1_I-G_1	mandatory	420	2.5e-28	105.100	0.915	0.610	144	399		Sage2_L_115_16_scaffold_62768_CAS_Class1-Type-I_89,Sage2_L_115_16_scaffold_62768_CAS_Cluster_90
Sage2_L_115_16_scaffold_62768	Sage2_L_115_16_scaffold_62768_2	cas7_I-G_4	1121891	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_115_16_scaffold_62768_CAS_Class1-Subtype-I-G_88	1	1	0.429	3.000	1	cas7_I-G_4	mandatory	369	1.6e-49	174.300	1.000	0.455	21	188		Sage2_L_115_16_scaffold_62768_CAS_Class1-Type-I_89,Sage2_L_115_16_scaffold_62768_CAS_Cluster_90
Sage2_L_115_16_scaffold_62768	Sage2_L_115_16_scaffold_62768_3	csb2gr5_I-G_1	1121892	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_115_16_scaffold_62768_CAS_Class1-Subtype-I-G_88	1	1	0.429	3.000	1	cas5u_I-G_1	mandatory	428	2.2e-53	188.100	0.851	0.972	3	418		Sage2_L_115_16_scaffold_62768_CAS_Class1-Type-I_89,Sage2_L_115_16_scaffold_62768_CAS_Cluster_90
Sage2_L_115_16_scaffold_78065	Sage2_L_115_16_scaffold_78065_1	cas2_I_II_III_IV_V_VI_3	966888	defense-finder-models/Cas/Cas/CAS_Cluster	Sage2_L_115_16_scaffold_78065_CAS_Cluster_50	1	1	0.040	2.000	1	cas2_I_II_III_IV_V_VI_1	mandatory	95	8.1e-17	67.200	0.835	0.695	8	73		
Sage2_L_115_16_scaffold_78065	Sage2_L_115_16_scaffold_78065_2	cas1_I_II_III_IV_V_VI_1	966889	defense-finder-models/Cas/Cas/CAS_Cluster	Sage2_L_115_16_scaffold_78065_CAS_Cluster_50	1	1	0.040	2.000	1	cas1_I_II_III_IV_V_VI_1	mandatory	585	5.8e-99	337.300	0.994	0.550	252	573		
Sage2_L_40_16_scaffold_26040	Sage2_L_40_16_scaffold_26040_1	cas9_II-A_II-B_II-C_3	1327063	defense-finder-models/Cas/Cas/CAS_Class2-Subtype-II-C	Sage2_L_40_16_scaffold_26040_CAS_Class2-Subtype-II-C_24	1	1	0.667	2.000	1	cas9_II-A_II-B_II-C_1	mandatory	1048	1.4e-97	334.200	0.699	0.714	4	751		Sage2_L_40_16_scaffold_26040_CAS_Class2-Type-II_25,Sage2_L_40_16_scaffold_26040_CAS_Cluster_26
Sage2_L_40_16_scaffold_26040	Sage2_L_40_16_scaffold_26040_3	cas2_I_II_III_IV_V_VI_6	1327065	defense-finder-models/Cas/Cas/CAS_Class2-Subtype-II-C	Sage2_L_40_16_scaffold_26040_CAS_Class2-Subtype-II-C_24	1	1	0.667	2.000	1	cas2_I_II_III_IV_V_VI_6	accessory	100	7.4e-25	93.500	0.698	0.810	6	86		Sage2_L_40_16_scaffold_26040_CAS_Class2-Type-II_25,Sage2_L_40_16_scaffold_26040_CAS_Cluster_26
Sage2_L_40_16_scaffold_30044	Sage2_L_40_16_scaffold_30044_1	cas3HD_I_1	1231420	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_40_16_scaffold_30044_CAS_Class1-Subtype-I-G_51	1	1	0.857	6.000	1	cas3_I_2	accessory	518	5.2e-14	58.700	0.961	0.409	301	512		Sage2_L_40_16_scaffold_30044_CAS_Class1-Type-I_52
Sage2_L_40_16_scaffold_30044	Sage2_L_40_16_scaffold_30044_2	cas8u1_I-G_1	1231421	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_40_16_scaffold_30044_CAS_Class1-Subtype-I-G_51	1	1	0.857	6.000	1	cas8u1_I-G_1	mandatory	731	2.2e-84	290.500	0.676	0.642	127	595		Sage2_L_40_16_scaffold_30044_CAS_Class1-Type-I_52,Sage2_L_40_16_scaffold_30044_CAS_Cluster_53
Sage2_L_40_16_scaffold_30044	Sage2_L_40_16_scaffold_30044_3	csb1gr7_I-G_1	1231422	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_40_16_scaffold_30044_CAS_Class1-Subtype-I-G_51	1	1	0.857	6.000	1	cas7_I-G_4	mandatory	307	1.3e-39	141.800	0.988	0.550	7	175		Sage2_L_40_16_scaffold_30044_CAS_Class1-Type-I_52,Sage2_L_40_16_scaffold_30044_CAS_Cluster_53
Sage2_L_40_16_scaffold_30044	Sage2_L_40_16_scaffold_30044_4	csb2gr5_I-G_1	1231423	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_40_16_scaffold_30044_CAS_Class1-Subtype-I-G_51	1	1	0.857	6.000	1	cas5u_I-G_1	mandatory	426	7.1e-32	117.200	0.801	0.892	1	380		Sage2_L_40_16_scaffold_30044_CAS_Class1-Type-I_52,Sage2_L_40_16_scaffold_30044_CAS_Cluster_53
Sage2_L_40_16_scaffold_30044	Sage2_L_40_16_scaffold_30044_6	cas1_I_II_III_IV_V_VI_1	1231425	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_40_16_scaffold_30044_CAS_Class1-Subtype-I-G_51	1	1	0.857	6.000	1	cas1_I_II_III_IV_V_VI_10	accessory	549	1.9e-86	296.200	0.994	0.577	221	537		Sage2_L_40_16_scaffold_30044_CAS_Class1-Type-I_52,Sage2_L_40_16_scaffold_30044_CAS_Cluster_53
Sage2_L_40_16_scaffold_30044	Sage2_L_40_16_scaffold_30044_7	cas2_I_II_III_IV_V_VI_3	1231426	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_40_16_scaffold_30044_CAS_Class1-Subtype-I-G_51	1	1	0.857	6.000	1	cas2_I_II_III_IV_V_VI_3	accessory	96	6.3e-18	70.800	0.861	0.708	6	73		Sage2_L_40_16_scaffold_30044_CAS_Class1-Type-I_52,Sage2_L_40_16_scaffold_30044_CAS_Cluster_53
Sage2_L_40_16_scaffold_31348	Sage2_L_40_16_scaffold_31348_2	csm3gr7_III-D_4	1233918	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-D	Sage2_L_40_16_scaffold_31348_CAS_Class1-Subtype-III-D_108	1	1	0.250	2.000	1	csm3gr7_III-D_1	mandatory	186	7.1e-42	149.400	0.929	0.892	1	166		Sage2_L_40_16_scaffold_31348_CAS_Class1-Type-III_109,Sage2_L_40_16_scaffold_31348_CAS_Cluster_110
Sage2_L_40_16_scaffold_31348	Sage2_L_40_16_scaffold_31348_5	cas11_III-D_1	1233921	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-D	Sage2_L_40_16_scaffold_31348_CAS_Class1-Subtype-III-D_108	1	1	0.250	2.000	1	csm2gr11_III-D_5	mandatory	154	1.8e-13	56.500	0.653	0.591	6	96		Sage2_L_40_16_scaffold_31348_CAS_Class1-Type-III_109,Sage2_L_40_16_scaffold_31348_CAS_Cluster_110
Sage2_L_40_16_scaffold_36541	Sage2_L_40_16_scaffold_36541_1	csm3gr7_III-D_3	1235481	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-D	Sage2_L_40_16_scaffold_36541_CAS_Class1-Subtype-III-D_99	1	1	0.375	3.000	1	csm3gr7_III-D_1	mandatory	450	2.4e-15	62.700	0.866	0.436	10	205		Sage2_L_40_16_scaffold_36541_CAS_Class1-Type-III_100,Sage2_L_40_16_scaffold_36541_CAS_Cluster_101
Sage2_L_40_16_scaffold_36541	Sage2_L_40_16_scaffold_36541_2	cas10_III-D_3	1235482	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-D	Sage2_L_40_16_scaffold_36541_CAS_Class1-Subtype-III-D_99	1	1	0.375	3.000	1	cas10_III-D_1	mandatory	543	3.4e-79	272.900	0.995	0.762	8	421		Sage2_L_40_16_scaffold_36541_CAS_Class1-Type-III_100,Sage2_L_40_16_scaffold_36541_CAS_Cluster_101
Sage2_L_40_16_scaffold_36541	Sage2_L_40_16_scaffold_36541_3	cas2_I_II_III_IV_V_VI_3	1235483	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-D	Sage2_L_40_16_scaffold_36541_CAS_Class1-Subtype-III-D_99	1	1	0.375	3.000	1	cas2_I_II_III_IV_V_VI_5	accessory	100	5.6e-21	80.500	0.962	0.760	11	86		Sage2_L_40_16_scaffold_36541_CAS_Class1-Type-III_100,Sage2_L_40_16_scaffold_36541_CAS_Cluster_101
Sage2_L_60_16_scaffold_13532	Sage2_L_60_16_scaffold_13532_2	cas3_I_5	568132	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-E	Sage2_L_60_16_scaffold_13532_CAS_Class1-Subtype-I-E_73	1	1	0.750	6.000	1	cas3_I_5	accessory	913	7.8e-61	212.500	0.443	0.417	288	668		Sage2_L_60_16_scaffold_13532_CAS_Class1-Type-I_74,Sage2_L_60_16_scaffold_13532_CAS_Cluster_75
Sage2_L_60_16_scaffold_13532	Sage2_L_60_16_scaffold_13532_3	cas8e_I-E_2	568133	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-E	Sage2_L_60_16_scaffold_13532_CAS_Class1-Subtype-I-E_73	1	1	0.750	6.000	1	cas8e_I-E_1	mandatory	557	3.3e-91	312.900	1.000	0.882	5	495		Sage2_L_60_16_scaffold_13532_CAS_Class1-Type-I_74,Sage2_L_60_16_scaffold_13532_CAS_Cluster_75
Sage2_L_60_16_scaffold_13532	Sage2_L_60_16_scaffold_13532_4	cse2gr11_I-E_2	568134	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-E	Sage2_L_60_16_scaffold_13532_CAS_Class1-Subtype-I-E_73	1	1	0.750	6.000	1	cse2gr11_I-E_2	mandatory	208	1.2e-19	77.000	0.993	0.712	37	184		Sage2_L_60_16_scaffold_13532_CAS_Class1-Type-I_74,Sage2_L_60_16_scaffold_13532_CAS_Cluster_75
Sage2_L_60_16_scaffold_13532	Sage2_L_60_16_scaffold_13532_5	cas7_I-E_16	568135	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-E	Sage2_L_60_16_scaffold_13532_CAS_Class1-Subtype-I-E_73	1	1	0.750	6.000	1	cas7_I-E_16	mandatory	348	2.1e-94	323.100	0.930	0.940	5	331		Sage2_L_60_16_scaffold_13532_CAS_Class1-Type-I_74,Sage2_L_60_16_scaffold_13532_CAS_Cluster_75
Sage2_L_60_16_scaffold_13532	Sage2_L_60_16_scaffold_13532_6	cas5_I-E_3	568136	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-E	Sage2_L_60_16_scaffold_13532_CAS_Class1-Subtype-I-E_73	1	1	0.750	6.000	1	cas5_I-E_3	mandatory	248	2.3e-47	167.200	0.978	0.722	5	183		Sage2_L_60_16_scaffold_13532_CAS_Class1-Type-I_74,Sage2_L_60_16_scaffold_13532_CAS_Cluster_75
Sage2_L_60_16_scaffold_13532	Sage2_L_60_16_scaffold_13532_7	cas6e_I_II_III_IV_V_VI_3	568137	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-E	Sage2_L_60_16_scaffold_13532_CAS_Class1-Subtype-I-E_73	1	1	0.750	6.000	1	cas6e_I_II_III_IV_V_VI_1	mandatory	233	4.8e-46	163.700	1.000	0.970	6	231		Sage2_L_60_16_scaffold_13532_CAS_Class1-Type-I_74,Sage2_L_60_16_scaffold_13532_CAS_Cluster_75
Sage2_L_80_16_scaffold_11623	Sage2_L_80_16_scaffold_11623_1	cas1_I_II_III_IV_V_VI_1	313071	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_80_16_scaffold_11623_CAS_Class1-Subtype-I-G_54	1	1	0.714	5.000	1	cas1_I_II_III_IV_V_VI_10	accessory	535	3e-87	298.800	0.981	0.585	221	533		Sage2_L_80_16_scaffold_11623_CAS_Class1-Type-I_55,Sage2_L_80_16_scaffold_11623_CAS_Cluster_56
Sage2_L_80_16_scaffold_11623	Sage2_L_80_16_scaffold_11623_2	csb2gr5_I-G_1	313072	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_80_16_scaffold_11623_CAS_Class1-Subtype-I-G_54	1	1	0.714	5.000	1	cas5u_I-G_1	mandatory	244	1.8e-19	76.200	0.466	0.914	20	242		Sage2_L_80_16_scaffold_11623_CAS_Class1-Type-I_55,Sage2_L_80_16_scaffold_11623_CAS_Cluster_56
Sage2_L_80_16_scaffold_11623	Sage2_L_80_16_scaffold_11623_4	csb1gr7_I-G_1	313074	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_80_16_scaffold_11623_CAS_Class1-Subtype-I-G_54	1	1	0.714	5.000	1	cas7_I-G_4	mandatory	313	3.9e-37	133.700	0.988	0.556	8	181		Sage2_L_80_16_scaffold_11623_CAS_Class1-Type-I_55,Sage2_L_80_16_scaffold_11623_CAS_Cluster_56
Sage2_L_80_16_scaffold_11623	Sage2_L_80_16_scaffold_11623_5	cas8u1_I-G_1	313075	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_80_16_scaffold_11623_CAS_Class1-Subtype-I-G_54	1	1	0.714	5.000	1	cas8u1_I-G_1	mandatory	753	3.3e-98	336.200	0.909	0.807	23	630		Sage2_L_80_16_scaffold_11623_CAS_Class1-Type-I_55,Sage2_L_80_16_scaffold_11623_CAS_Cluster_56
Sage2_L_80_16_scaffold_11623	Sage2_L_80_16_scaffold_11623_6	cas3_I_2	313076	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_80_16_scaffold_11623_CAS_Class1-Subtype-I-G_54	1	1	0.714	5.000	1	cas3_I_2	accessory	793	5.2e-34	124.000	0.890	0.414	31	358		Sage2_L_80_16_scaffold_11623_CAS_Class1-Type-I_55,Sage2_L_80_16_scaffold_11623_CAS_Cluster_56
Sage2_L_80_16_scaffold_11916	Sage2_L_80_16_scaffold_11916_1	cas1_I_II_III_IV_V_VI_1	577960	defense-finder-models/Cas/Cas/CAS_Cluster	Sage2_L_80_16_scaffold_11916_CAS_Cluster_57	1	1	0.040	2.000	1	cas1_I_II_III_IV_V_VI_1	mandatory	463	3.4e-102	347.900	0.997	0.693	131	451		
Sage2_L_80_16_scaffold_11916	Sage2_L_80_16_scaffold_11916_2	cas2_I_II_III_IV_V_VI_3	577961	defense-finder-models/Cas/Cas/CAS_Cluster	Sage2_L_80_16_scaffold_11916_CAS_Cluster_57	1	1	0.040	2.000	1	cas2_I_II_III_IV_V_VI_1	mandatory	97	3.9e-19	74.600	0.873	0.701	5	72		
Sage2_L_80_16_scaffold_13923	Sage2_L_80_16_scaffold_13923_10	cas6f_I_II_III_IV_V_VI_2	810943	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-F	Sage2_L_80_16_scaffold_13923_CAS_Class1-Subtype-I-F_141	1	1	0.333	2.000	1	cas6f_I_II_III_IV_V_VI_3	mandatory	185	7.4e-63	218.100	1.000	0.995	1	184		Sage2_L_80_16_scaffold_13923_CAS_Class1-Type-I_142
Sage2_L_80_16_scaffold_13923	Sage2_L_80_16_scaffold_13923_11	cas7f_I-F_2	810944	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-F	Sage2_L_80_16_scaffold_13923_CAS_Class1-Subtype-I-F_141	1	1	0.333	2.000	1	cas7f_I-F_3	mandatory	340	3e-143	483.300	0.997	0.974	5	335		Sage2_L_80_16_scaffold_13923_CAS_Class1-Type-I_142
Sage2_L_80_16_scaffold_147838	Sage2_L_80_16_scaffold_147838_1	cas1_I_II_III_IV_V_VI_1	1283363	defense-finder-models/Cas/Cas/CAS_Cluster	Sage2_L_80_16_scaffold_147838_CAS_Cluster_58	1	1	0.040	2.000	1	cas1_I_II_III_IV_V_VI_1	mandatory	517	3.6e-107	364.300	1.000	0.660	165	505		
Sage2_L_80_16_scaffold_147838	Sage2_L_80_16_scaffold_147838_2	cas2_I_II_III_IV_V_VI_3	1283364	defense-finder-models/Cas/Cas/CAS_Cluster	Sage2_L_80_16_scaffold_147838_CAS_Cluster_58	1	1	0.040	2.000	1	cas2_I_II_III_IV_V_VI_1	mandatory	97	2.2e-20	78.600	0.861	0.701	5	72		
Sage2_L_80_16_scaffold_15944	Sage2_L_80_16_scaffold_15944_1	cmr4gr7_III-B_III-C_2	4523	defense-finder-models/Cas/Cas/CAS_Class1-Type-III	Sage2_L_80_16_scaffold_15944_CAS_Class1-Type-III_97	1	1	0.150	3.000	1	csm3gr7_III-A_1	mandatory	197	5.1e-38	137.400	0.556	0.787	3	157		Sage2_L_80_16_scaffold_15944_CAS_Cluster_98
Sage2_L_80_16_scaffold_15944	Sage2_L_80_16_scaffold_15944_2	cmr3gr5_III-B_III-C_5	4524	defense-finder-models/Cas/Cas/CAS_Class1-Type-III	Sage2_L_80_16_scaffold_15944_CAS_Class1-Type-III_97	1	1	0.150	3.000	1	csm4gr5_III-A_3	mandatory	497	3e-39	141.600	0.964	0.909	6	457		Sage2_L_80_16_scaffold_15944_CAS_Cluster_98
Sage2_L_80_16_scaffold_15944	Sage2_L_80_16_scaffold_15944_3	cas10_III_1	4525	defense-finder-models/Cas/Cas/CAS_Class1-Type-III	Sage2_L_80_16_scaffold_15944_CAS_Class1-Type-III_97	1	1	0.150	3.000	1	cas10_III_1	mandatory	941	3.1e-79	273.300	0.996	0.652	194	807		Sage2_L_80_16_scaffold_15944_CAS_Cluster_98
Sage2_L_80_16_scaffold_1928	Sage2_L_80_16_scaffold_1928_1	cas5f_I-F_4	811376	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-F	Sage2_L_80_16_scaffold_1928_CAS_Class1-Subtype-I-F_128	1	1	0.667	4.000	1	cas5f_I-F_4	mandatory	312	2.2e-100	341.900	1.000	0.962	5	304		Sage2_L_80_16_scaffold_1928_CAS_Class1-Type-I_129,Sage2_L_80_16_scaffold_1928_CAS_Cluster_130
Sage2_L_80_16_scaffold_1928	Sage2_L_80_16_scaffold_1928_2	cas8f_I-F_4	811377	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-F	Sage2_L_80_16_scaffold_1928_CAS_Class1-Subtype-I-F_128	1	1	0.667	4.000	1	cas8f_I-F_8	mandatory	442	4e-137	463.600	0.997	0.848	59	433		Sage2_L_80_16_scaffold_1928_CAS_Class1-Type-I_129,Sage2_L_80_16_scaffold_1928_CAS_Cluster_130
Sage2_L_80_16_scaffold_1928	Sage2_L_80_16_scaffold_1928_3	cas3f_I-F_1	811378	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-F	Sage2_L_80_16_scaffold_1928_CAS_Class1-Subtype-I-F_128	1	1	0.667	4.000	1	cas3f_I-F_1	mandatory	1090	0.0	1361.900	1.000	0.994	1	1084		Sage2_L_80_16_scaffold_1928_CAS_Class1-Type-I_129,Sage2_L_80_16_scaffold_1928_CAS_Cluster_130
Sage2_L_80_16_scaffold_1928	Sage2_L_80_16_scaffold_1928_4	cas1_I-F_1	811379	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-F	Sage2_L_80_16_scaffold_1928_CAS_Class1-Subtype-I-F_128	1	1	0.667	4.000	1	cas1_I-F_1	mandatory	357	1.3e-155	523.500	0.997	0.857	43	348		Sage2_L_80_16_scaffold_1928_CAS_Class1-Type-I_129,Sage2_L_80_16_scaffold_1928_CAS_Cluster_130
Sage2_L_80_16_scaffold_1985	Sage2_L_80_16_scaffold_1985_13	WYL_I_II_III_IV_V_VI_4	577422	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_80_16_scaffold_1985_CAS_Class1-Subtype-I-G_91	1	1	0.571	4.000	1	WYL_I_II_III_IV_V_VI_1	neutral	338	2.9e-30	111.700	0.994	0.524	145	321		Sage2_L_80_16_scaffold_1985_CAS_Class1-Type-I_92,Sage2_L_80_16_scaffold_1985_CAS_Cluster_93
Sage2_L_80_16_scaffold_1985	Sage2_L_80_16_scaffold_1985_16	cas3HD_I_1	577425	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_80_16_scaffold_1985_CAS_Class1-Subtype-I-G_91	1	1	0.571	4.000	1	cas3_I_2	accessory	965	6e-12	51.900	0.571	0.179	689	861		Sage2_L_80_16_scaffold_1985_CAS_Class1-Type-I_92
Sage2_L_80_16_scaffold_1985	Sage2_L_80_16_scaffold_1985_17	cas8u1_I-G_1	577426	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_80_16_scaffold_1985_CAS_Class1-Subtype-I-G_91	1	1	0.571	4.000	1	cas8u1_I-G_1	mandatory	711	4.7e-115	391.800	0.708	0.702	113	611		Sage2_L_80_16_scaffold_1985_CAS_Class1-Type-I_92,Sage2_L_80_16_scaffold_1985_CAS_Cluster_93
Sage2_L_80_16_scaffold_1985	Sage2_L_80_16_scaffold_1985_18	csb1gr7_I-G_1	577427	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_80_16_scaffold_1985_CAS_Class1-Subtype-I-G_91	1	1	0.571	4.000	1	cas7_I-G_4	mandatory	320	6.9e-43	152.500	0.994	0.516	20	184		Sage2_L_80_16_scaffold_1985_CAS_Class1-Type-I_92,Sage2_L_80_16_scaffold_1985_CAS_Cluster_93
Sage2_L_80_16_scaffold_1985	Sage2_L_80_16_scaffold_1985_19	csb2gr5_I-G_1	577428	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage2_L_80_16_scaffold_1985_CAS_Class1-Subtype-I-G_91	1	1	0.571	4.000	1	cas5u_I-G_1	mandatory	567	2e-36	132.200	0.982	0.995	1	564		Sage2_L_80_16_scaffold_1985_CAS_Class1-Type-I_92,Sage2_L_80_16_scaffold_1985_CAS_Cluster_93
Sage2_L_80_16_scaffold_23351	Sage2_L_80_16_scaffold_23351_2	cas8e_I-E_2	1132855	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-E	Sage2_L_80_16_scaffold_23351_CAS_Class1-Subtype-I-E_143	1	1	0.375	3.000	1	cas8e_I-E_1	mandatory	699	3e-34	125.100	0.580	0.383	25	292		Sage2_L_80_16_scaffold_23351_CAS_Class1-Type-I_144,Sage2_L_80_16_scaffold_23351_CAS_Cluster_145
Sage2_L_80_16_scaffold_23351	Sage2_L_80_16_scaffold_23351_3	cas7_I-E_16	1132856	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-E	Sage2_L_80_16_scaffold_23351_CAS_Class1-Subtype-I-E_143	1	1	0.375	3.000	1	cas7_I-E_16	mandatory	440	1.5e-53	188.700	0.903	0.864	36	415		Sage2_L_80_16_scaffold_23351_CAS_Class1-Type-I_144,Sage2_L_80_16_scaffold_23351_CAS_Cluster_145
Sage2_L_80_16_scaffold_23351	Sage2_L_80_16_scaffold_23351_4	cas5_I-E_13	1132857	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-E	Sage2_L_80_16_scaffold_23351_CAS_Class1-Subtype-I-E_143	1	1	0.375	3.000	1	cas5_I-E_3	mandatory	136	1.6e-15	63.400	0.406	0.537	27	99		Sage2_L_80_16_scaffold_23351_CAS_Class1-Type-I_144,Sage2_L_80_16_scaffold_23351_CAS_Cluster_145
Sage2_R_100_16_scaffold_17524	Sage2_R_100_16_scaffold_17524_1	cas3HD_I_1	1094164	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	Sage2_R_100_16_scaffold_17524_CAS_Class1-Subtype-I-B_131	1	1	0.500	4.000	1	cas3_I_5	accessory	190	4.6e-19	75.200	0.675	0.679	16	144		Sage2_R_100_16_scaffold_17524_CAS_Class1-Type-I_132
Sage2_R_100_16_scaffold_17524	Sage2_R_100_16_scaffold_17524_2	cas5_I-B_1	1094165	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	Sage2_R_100_16_scaffold_17524_CAS_Class1-Subtype-I-B_131	1	1	0.500	4.000	1	cas5_I-B_6	mandatory	221	5.9e-25	94.100	0.891	0.846	5	191		Sage2_R_100_16_scaffold_17524_CAS_Class1-Type-I_132,Sage2_R_100_16_scaffold_17524_CAS_Cluster_133
Sage2_R_100_16_scaffold_17524	Sage2_R_100_16_scaffold_17524_3	cas7_I-B_6	1094166	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	Sage2_R_100_16_scaffold_17524_CAS_Class1-Subtype-I-B_131	1	1	0.500	4.000	1	cas7_I-B_6	mandatory	343	6.1e-54	189.400	0.931	0.863	11	306		Sage2_R_100_16_scaffold_17524_CAS_Class1-Type-I_132,Sage2_R_100_16_scaffold_17524_CAS_Cluster_133
